Donor Agency,Project Title,Aid Modality,Type Of Assistance,Primary Sector,Implementing Agency,Date of Agreement Signed,Date of Agreement Effective,Date of Planned Completion,Type of PIU,Status,AMP ID,Cumulative Commitment,Cumulative Disbursement,2007 Q1 Actual Disbursements,2007 Q2 Actual Disbursements,2007 Q3 Actual Disbursements,2007 Q4 Actual Disbursements,2008 Q1 Actual Disbursements,2008 Q2 Actual Disbursements,2008 Q3 Actual Disbursements,2008 Q4 Actual Disbursements,2009 Q1 Actual Disbursements,2009 Q2 Actual Disbursements,2009 Q3 Actual Disbursements,2009 Q4 Actual Disbursements,2010 Q1 Actual Disbursements,2010 Q2 Actual Disbursements,2010 Q3 Actual Disbursements,2010 Q4 Actual Disbursements,2011 Q1 Actual Disbursements,2011 Q2 Actual Disbursements,2011 Q3 Actual Disbursements,2011 Q4 Actual Disbursements,Total Actual Disbursements
European Union,PRBS 3 (Food Facility),Budget Support,Grant,AGRICULTURE,World Food Programme,,01/07/2009,30/06/2010,None,Ongoing,8722614410666,168211698.8,123531163, , , , , , , , , , , , , , ,123531163, , , , , ,123531163
European Union,Poverty Reduction Budget Support 2,Budget Support,Grant,ECONOMIC GOVERNANCE,Ministry of Finance,01/07/2006,01/07/2006,30/06/2011,None,Closed,872261149908,51384757.95,81295353.14, ,11645171.62,89150.943,7474207.497,10262077.68,35007405.41, ,48175.704, , , , , ,1199935.756, ,8337.812, , , , ,65734462.42
European Union,Promotion of Rule of Law & Civic Education in Malawi,Direct Project Support,Grant,DEMOCRATIC GOVERNANCE, ,,,,None,Ongoing,8722612610905,35730236.71,31602776.68, , , , , , , , , , , , , , , , , ,29984132.23,1252083.8,155219.188,31391435.22
European Union,Malawi Backlog Road Rehabilitation and Maintenance Programme,Direct Project Support,Grant,"ROADS, PUBLIC WORKS AND TRANSPORT",Roads Authority,24/08/2005,01/07/2006,31/12/2014,None,Ongoing,8722612110009,53514601.44,45028174.84,804357.656,517744.537,1566465.212,64489.954,942298.659,12040988.08, ,1915713.98,963731.511,1514696.231,760233.872,3446407.472,1597298.767,783139.185,441724.426,1175960.77,2342630.284,5476141.361,200144.074,2056038.355,38610204.39
European Union,Education Civique & Electorale - Phase II,Direct Project Support,Grant,DEMOCRATIC GOVERNANCE, ,27/07/2000,01/07/2000,31/07/2006,None,Closed,8722612110035,8349003.384,2719722.816, , , , , , , , , , , , , , ,126042.332, , , , , ,126042.332
European Union,Augm.Plafond M.Silva Domingos ( Rider 2 Note xxxx DD XX/XX/XX),Direct Project Support,Grant,"ROADS, PUBLIC WORKS AND TRANSPORT",Roads Authority,01/07/2002,01/07/2002,31/12/2009,None,Closed,872261219974,28238465.88,2876197.405, , , ,531511.426, , , , , , , , , , , , , ,97980.493, , ,629491.919
European Union,Formation 1981-1985 (EX 05 P001),Direct Project Support,Grant,EDUCATION, ,10/03/1981,10/03/1981,31/12/1985,None,Closed,8722613010295,5972736.215,124229.977, , , , ,127530.207,-3300.229, , , , , , , , , , , , , , ,124229.977
European Union,4th Microprojects Programme,Direct Project Support,Grant,INTEGRATED RURAL DEVELOPMENT,Ministry of Finance,13/12/2002,01/07/2004,30/06/2008,Embedded,Closed,872261219962,42952690.68,31508367.33,1545155.655,4927969.635,-386947.509,384666.2,974502.625,2239054.39, ,86233.989,5454.289,1783579.414,314347.671,51242.583,54192.058,16276.326, ,8913.655, ,14280.77,26834.951, ,12045756.71
European Union,Capacity Building Project for Economic management and Policy Coordination,Direct Project Support,Grant,ECONOMIC GOVERNANCE,Ministry of Economic Planning and Development,20/11/2000,20/11/2000,31/12/2007,None,Closed,872261229951,8461827.754,7707545.721,513943.092,502696.876,114652.94,324067.902,-311258.778, , ,195389, , , , , , , , , , , , ,1339491.033
European Union,Public Works Programme,Direct Project Support,Grant,INTEGRATED RURAL DEVELOPMENT,Ministry of Local Government and Rural Development,01/07/2000,01/07/2004,31/07/2005,Embedded,Closed,872261219953,14103046.26,16721907.7,20634.085, , , ,-202275.023, , , , , ,16039.715, , , , , , , , , ,-165601.222
European Union,Masasa-Golomoti-Monkey bay Road,Direct Project Support,Grant,"ROADS, PUBLIC WORKS AND TRANSPORT", ,31/12/1999,01/07/2000,01/07/2009,Embedded,Closed,872261229945,23886244.66,32408840.23,241462.435, ,406839.622,190856.564,3810259.323,1412186.616, ,9292724.151,64441.47, , , , , , , , , , , ,15418770.19
European Union,Malawi National Blood Transfusion Services,Direct Project Support,Grant,HEALTH,Ministry of Health,31/12/1999,31/12/1999,30/12/2006,None,Closed,872261219944,9460470.193,7391948.892,189966.426,117450.676,329942.511,113265.48,243572.438,350058.167, ,375667.647,40026.764,163315.301, , ,337866.011, , , , , , , ,2261131.426
European Union,Support Health Reform/Decentralisation: Chiradzulo Hospital,Direct Project Support,Grant,HEALTH,Ministry of Health,01/07/1998,01/01/1998,31/12/2005,None,Closed,872261219922,14484057.19,17446576.98, , ,141409.598, , , , ,504068.936, , , , , , , , , , , , ,645478.534
European Union,Road Management Support Programme,Direct Project Support,Grant,"ROADS, PUBLIC WORKS AND TRANSPORT",Roads Authority,15/12/1997,15/12/1997,31/12/2006, ,Closed,872261219977,19323558.35,20763070.27, , , , , , , , , , , , , , , , , ,20763070.27, , ,20763070.27
European Union,Capacity Building for Non State Actors - Old name Non State Actors (NSA),Direct Project Support,Grant,DEMOCRATIC GOVERNANCE, ,01/01/2006,01/01/2006,31/12/2012,Embedded,Closed,8722612110059,6851661.527,5132567.877, ,147241.148,916913.85,134528.889,42775.447,737045.913, ,2195219.279,1410.057, ,546897.201,34480.894, ,19833.811,22546.275, ,60073.999, , , ,4858966.77
European Union,Institutional Support to Transport Public Sector - old name Institutional Support to Transport Public Bodies,Direct Project Support,Grant,"ROADS, PUBLIC WORKS AND TRANSPORT","Minstry of Transport, Public Works and Infrastructure",01/01/2005,01/01/2005,31/12/2012,Embedded,Closed,8722612110042,9527075.949,6209627.592, ,318442.586, ,78483.434,57976.002,138295.594, ,605765.92,114700.662,298234.493,652459.349, ,357018.315,11051.894,737492.182,338486.312,978457.98,63316.774, ,511490.118,5261671.623
European Union,Emergency Food Aid for Malawi,Farm Input Subisdy Program - Discrete,Grant,"VULNERABILITY, DISASTER AND RISK MANAGEMENT",World Food Programme,01/01/2005,01/01/2005,30/06/2008,Embedded,Closed,872261149915,5779233.288,6406041.551, , , ,373291.336, , , , , , , , , , , , , , , , ,373291.336
European Union,Support to the National EPA Secretariat,Direct Project Support,Grant,"TRADE, INDUSTRY AND PRIVATE SECTOR DEVELOPMENT",Ministry of Industry and Trade,01/01/2005,01/07/2005,31/12/2011,None,Closed,872261219997,1926411.096,659908.04, , ,37432.13,182258.471,193099.827,16078.431, , , , , , , , , ,1531.377, , , , ,430400.238
European Union,NAO Capacity Building Programme,Direct Project Support,Technical Assistance,ECONOMIC GOVERNANCE,Ministry of Finance,20/04/2004,01/07/2005,31/12/2009,Embedded,Closed,8722612210028,4695627.046,4753285.502,378858.38,11265.677,218638.707,333150.486,824273.76,586388.621, ,470814.067,473334.272,-12806.558,101548.555,22552.017, , ,29403.012, , ,119451.378, ,272947.299,3829819.679
European Union,Institutional Development across Agriculture-Food Sector( IDAF),Direct Project Support,Grant,AGRICULTURE,Ministry of Agriculture and Food Security,29/06/2005,29/06/2005,31/12/2010,None,Closed,872261219995,9595935.272,4699727.756,244621.193,455165.438,350301.716,1581501.633,289990.402,74071.81, ,281733.26, ,57513.46, , ,193755.853,145514.107, ,48219.483,237577.526, , ,18080.633,3978046.52
European Union,Improved Forestry Management for Sustainable Livelihoods Phase 1,Direct Project Support,Grant,"ENVIRONMENT, LANDS AND NATURAL RESOURCES", ,15/12/2004,15/12/2004,01/06/2011,Embedded,Ongoing,8722612210248,11044977.6,10314583.2,965959.595,1204772.189,644597.196,1541303.388,340677.256,889344.179, ,466508.228,10056.345, ,83307.482,161594.91, , ,8406.464, , , , , ,6316527.237
European Union,Technical Cooperation Facility,Direct Project Support,Grant,ECONOMIC GOVERNANCE, ,11/05/2011,11/05/2004,,Embedded,Closed,872261229994,9204148.002,8140131.814,1178392.756,359746.093,902305.358,531441.951,17874.96,232496.987, ,116334.131, , , , , ,2288.772, , , , , , ,3340881.012
European Union,Trypanosomiasis Control Programme,Direct Project Support,Grant,HEALTH, ,09/07/1996,09/07/1996,09/07/1997,None,Closed,8722613010296,276724.137,253932.681, , , , ,253932.681, , , , , , , , , , , , , , , ,253932.681
European Union,Population Education Programme Health,Direct Project Support,Grant,DEMOCRATIC GOVERNANCE, ,,,,None,Closed,8722611610353,1907745.5,1738155.926, , , , ,1738155.926, , , , , , , , , , , , , , , ,1738155.926
European Union,Technical Cooperation Facility II,Direct Project Support,Technical Assistance,ECONOMIC GOVERNANCE, ,,01/07/2007,01/07/2008,None,Closed,8722612210247,12127440.9,7197364.313, , ,53337.264,150115.103,258893.381,176598.639, ,908073.104,1634032.962,97789.977,565197.408,481632.804,689411.773,474713.575,661409.455,175594.24, ,244894.004,230567.069,15963.109,6818223.874
European Union,Coordinator for the implementation of EC funded activities in the Sugar Sector in Malawi,Direct Project Support,Grant,AGRICULTURE, ,,04/01/2010,31/03/2010,None,Closed,8722612610638,139400.069,127993.138, , , , , , , , , , ,127993.138, , , , , , , , , ,127993.138
European Union,Financial Audit of arrears generated from contracts in the Road Sector,Direct Project Support,Grant,"ROADS, PUBLIC WORKS AND TRANSPORT", ,,01/01/2010,31/03/2010,None,Closed,8722612610637,20910.01,15690.226, , , , , , , , , , ,15690.226, , , , , , , , , ,15690.226
European Union,Formulation of 10th EDF Governance Non-Focal Sector Programme,Direct Project Support,Grant,DEMOCRATIC GOVERNANCE, ,,01/01/2010,,None,Ongoing,8722612610636,125460.062,110411.394, , , , , , , , , , ,110411.394, , , , , , , , , ,110411.394
European Union,Techcnical Audits of EDF - funded Building Projects,Direct Project Support,Grant,ECONOMIC GOVERNANCE, ,,01/01/2010,30/06/2010,None,Closed,8722612610635,125460.062,116319.081, , , , , , , , , , ,116319.081, , , , , , , , , ,116319.081
European Union,System Audit - procurement of Road Projects,Direct Project Support,Grant,"ROADS, PUBLIC WORKS AND TRANSPORT", ,,01/01/2010,,None,Ongoing,8722612610634,41820.02,33377.173, , , , , , , , , , ,33377.173, , , , , , , , , ,33377.173
European Union,10th EDF Identification/ Feasibility study for Governance non- focal sector in Malawi,Direct Project Support,Grant,ECONOMIC GOVERNANCE, ,,01/01/2010,,NGO,Closed,8722612610633,83640.041,81358.058, , , , , , , , , , ,81358.058, , , , , , , , , ,81358.058
European Union,"Formulation for the 10th EDF Region intergration,Trade and investment in programme",Direct Project Support,Grant,ECONOMIC GOVERNANCE, ,,01/01/2010,28/02/2010,None,Closed,8722612610631,97580.048,87991.878, , , , , , , , , , ,87991.878, , , , , , , , , ,87991.878
European Union,Malawi Peri - Urban Water and Sanitation,Direct Project Support," - Grant
 - Loan","WATER, SANITATION AND IRRIGATION", ,19/12/2008,30/09/2009,30/03/2014,None,Ongoing,8722615410571,53586418.82,18987841.49, , , , , , , , , , ,2850884.565, , , , , , , , ,16136956.92,18987841.49
European Union,Strengthening the Institutional Framework for Land Reform Programme Implementation,Direct Project Support,Grant,DEMOCRATIC GOVERNANCE,Ministry of Lands and Housing,01/07/2004,01/07/2004,30/06/2009,None,Closed,872261229931,2416475.424,2333770.212,624757.802,-1045.154, , ,209746.626, , , , , , , , , , , , , , , ,833459.275
European Union,Rule of Law Institutional Support,Direct Project Support,Grant,DEMOCRATIC GOVERNANCE,Ministry of Justice,01/07/2003,01/07/2003,06/06/2005,Embedded,Ongoing,872261229925,1365700.433,1253073.415, ,-26609.217, , , , , , , , , , , , , , , , , , ,-26609.217
Flemish International Cooperation Agency,Malawi Economic Justice Network,Direct Project Support,Grant,AGRICULTURE,Malawi Economic Justice Network,26/01/2011,,31/12/2013,NGO,Ongoing,8722612610831,132981.159,81289.333, , , , , , , , , , , , , , ,54402.739, , , , , ,54402.739
Flemish International Cooperation Agency,National Smallholder Farmers Association of Malawi,Direct Project Support,Grant,AGRICULTURE,Nasfam,26/01/2011,,31/12/2013,NGO,Ongoing,8722612610829,133409.743,81550.504, , , , , , , , , , , , , , ,54577.527, , , , , ,54577.527
Flemish International Cooperation Agency,Health SWAp,Health SWAp - Pooled,Grant,HEALTH,Ministry of Health,16/10/2009,,30/06/2011,None,Ongoing,8722612610669,5921539.6,10042738.02, , , , , , , , , ,1491041.82, ,1257851.388, ,1387950.397, , ,1352039.784, , , ,5488883.39
Flemish International Cooperation Agency,Trustees of Agricultural Promotion Programme,Direct Project Support,Grant,AGRICULTURE, ,26/01/2011,,31/12/2013,NGO,Ongoing,8722612610826,124169.155,50797.738, , , , , , , , , , , , , , ,50797.738, , , , , ,50797.738
Flemish International Cooperation Agency,Development Action for Marginalised Rural Areas,Direct Project Support,Grant,AGRICULTURE, ,26/01/2011,,31/12/2013,None,Ongoing,8722612610830,133515.22,54621.224, , , , , , , , , , , , , , ,54621.224, , , , , ,54621.224
Flemish International Cooperation Agency,Malawi Organic Growers Association (MOGA),Direct Project Support,Grant,AGRICULTURE, ,26/01/2011,,31/12/2013,NGO,Ongoing,8722612610827,133515.22,54621.224, , , , , , , , , , , , , , ,54621.224, , , , , ,54621.224
Flemish International Cooperation Agency,Farmers Union of Malawi,Direct Project Support,Grant,AGRICULTURE, ,26/01/2011,,31/12/2013,NGO,Ongoing,8722612610828,132714.129,160418.854, , , , , , , , , , , , , , ,54293.496, , , , , ,54293.496
Flemish International Cooperation Agency,Banja La Mtsogolo,Direct Project Support,Grant,HEALTH, ,17/12/2010,01/07/2009,30/06/2015,None,Ongoing,8722621410919,660661.231,656079.259, , , , , , , , , , , , , , , ,238183.174, , , ,210239.92,448423.095
Flemish International Cooperation Agency,National Artificial Insemination Services (Mikolongwe),Direct Project Support,Grant,AGRICULTURE,Ministry of Agriculture and Food Security,01/07/2008,,,None,Ongoing,8722615410529,118408.588,502122.027, , , , , , , , , , , ,90527.02, , , , , , ,411595.006, ,502122.027
Flemish International Cooperation Agency,Small Scale Livestock and Livelihoods Program,Direct Project Support,Grant,AGRICULTURE, ,19/12/2012,,31/12/2015,None,Ongoing,8722617611069,834327.109,973935.543, , , , , , , , , , , , , , , , , , ,276038.583, ,276038.583
Flemish International Cooperation Agency,Agricultural Extension Training and Services 6,Direct Project Support,Grant,AGRICULTURE,Dept of Agri. Extention services,01/06/2010,,31/12/2012,None,Ongoing,8722612610778,2444663.13,2849903.257, , , , , , , , , , , , , ,1628360.061, , , , , , ,1628360.061
Flemish International Cooperation Agency,Agricultural Extension Training and Services 2,Direct Project Support,Grant,AGRICULTURE,Bunda College of Agriculture,13/02/2009,,15/09/2013,None,Ongoing,8722615410525,1740928.653,1806467.83, , , , , , , ,842466.657, , , , , , , ,571639.618, , , , ,1414106.276
Flemish International Cooperation Agency,Microloan Foundation,Direct Project Support,Grant,AGRICULTURE, ,26/01/2011,,31/12/2013,NGO,Ongoing,8722612610825,133477.836,54606.203, , , , , , , , , , , , , , ,54606.203, , , , , ,54606.203
Flemish International Cooperation Agency,Community Agroforestry Tree Seed Banks - ICRAF,Direct Project Support,Grant,AGRICULTURE,International Center for Research in Agroforestry (ICRAF),01/07/2008,,,NGO,Ongoing,8722615410518,236248.815,363192.881, , , , , , , , , , , ,150942.166, , , , , , , , ,150942.166
Flemish International Cooperation Agency,Malawi Milk Producers Associiation,Direct Project Support,Grant,AGRICULTURE,Ministry of Agriculture and Food Security,01/03/2010,,29/03/2013,NGO,Ongoing,8722612610670,678936.656,680185.589, , , , , , , , , , , ,201520.459, , , , ,215053.344, , , ,416573.803
Flemish International Cooperation Agency,Agricultural Extension Training and Services 1,Direct Project Support,Grant,AGRICULTURE,Ministry of Agriculture and Food Security,13/02/2009,,15/09/2013,None,Ongoing,8722615410516,890106.314,654645.857, , , , , , , ,291438.979, , , , ,363206.877, , , , , , , ,654645.857
Flemish International Cooperation Agency,Mzuzu Coffee Planters Co-op Union,Direct Project Support,Grant,AGRICULTURE,Ministry of Agriculture and Food Security,11/12/2009,,31/12/2012,None,Ongoing,8722612610689,745520.91,652129.435, , , , , , , , , , , ,251570.277, , , , ,215053.344, , ,185505.812,652129.435
Flemish International Cooperation Agency,Agricultural Extension Training and Services 5,Direct Project Support,Grant,AGRICULTURE,Ministry of Agriculture and Food Security,13/02/2009,,15/09/2013,None,Ongoing,8722615410528,964506.212,1017833.505, , , , , , , ,298411.461, , , , , ,412795.927, , , ,306626.116, , ,1017833.505
Flemish International Cooperation Agency,Agricultural Extension Training and Services 4,Direct Project Support,Grant,AGRICULTURE,Ministry of Agriculture and Food Security,13/02/2009,,15/09/2013,None,Ongoing,8722615410527,1267068.015,941050.052, , , , , , , ,391865.839, , , , , ,549184.213, , , , , , ,941050.052
Flemish International Cooperation Agency,Agricultural Extension Training and Services 3,Direct Project Support,Grant,AGRICULTURE,Ministry of Agriculture and Food Security,13/02/2009,,13/02/2013,None,Ongoing,8722615410526,891136.159,926592.107, , , , , , , ,275597.517, , , , , ,367697.614, , , ,283296.974, , ,926592.107
Flemish International Cooperation Agency,"Water, Sanitation & Hygiene",Direct Project Support,Grant,"WATER, SANITATION AND IRRIGATION",United Nations Children's Fund,,,31/03/2010,NGO,Ongoing,8722615410524,729016.786,714725.895, , , , , , , , , , , ,714725.895, , , , , , , , ,714725.895
Flemish International Cooperation Agency,Vulnerabilities of Women and Girls to HIV & AIDS,Direct Project Support,Grant,HEALTH," - Flemish International Cooperation Agency
 - United Nations Programme on HIV and AIDS",22/11/2006,,01/07/2010,NGO,Ongoing,8722615410523,1285892.473,672703.24,342583.076, , , , , , ,330120.163, , , , , , , , , , , , ,672703.24
Flemish International Cooperation Agency,Rehabilitation of Irr.Schemes - Greenbelt,Direct Project Support,Grant,AGRICULTURE,Ministry of Agriculture and Food Security,13/02/2009,,06/06/2010,None,Closed,8722615410522,384270.526,792800.009, , , , , , , ,633830.714, , ,81472.398, ,77496.895, , , , , , , ,792800.009
Flemish International Cooperation Agency,Para-Vet. & Agric. Ext. Workers,Direct Project Support,Grant,AGRICULTURE,Ministry of Agriculture and Food Security,01/12/2007,01/04/2008,30/11/2010,None,Ongoing,8722615410521,131283.297,122704.909,98872.216, , , , , , , , , , , , ,23832.693, , , , , , ,122704.909
Flemish International Cooperation Agency,Food Security and Nutrition,Direct Project Support,Grant,AGRICULTURE,Food and Agriculture Organisation,01/07/2009,01/04/2008,01/03/2011,NGO,Ongoing,8722615410519,4858277.116,4195376.087,2247344.981, , , , , , , , , , ,1948031.105, , , , , , , , ,4195376.087
Flemish International Cooperation Agency,Capacity Bld'g of Ext. Workers and Veterinary,Direct Project Support,Grant,AGRICULTURE,Ministry of Agriculture and Food Security,01/12/2007,,15/09/2013,None,Closed,8722615410517,131169.757,123257.478,98785.885, , , , , , , , , ,24471.592, , , , , , , , , ,123257.478
Food and Agriculture Organisation,Strengthening Pest and Pesticides Management Capacities in Malawi,Direct Project Support,Grant,AGRICULTURE,Ministry of Agriculture and Food Security,,01/05/2011,30/04/2013,None,Planned,8722612610916,500000,309494, , , , , , , , , , , , , , , ,12308,53632,81211,53271,34547,234969
Food and Agriculture Organisation,Improving Food Security and Nutrition Policies and Programme Outreach,Direct Project Support,Grant,AGRICULTURE,Ministry of Agriculture and Food Security,21/07/2007,,31/08/2010,None,Ongoing,8722611610408,5510275,6209761, , , , ,296020,337847,353331,209487,372767,643027,420948,637649,311405,196328,121698,176917,219216,581186,324759,123325,5325910
Food and Agriculture Organisation,Technical Assistance under the South South Cooperation(SSC) with the People's Republic of China in support of the Agriculture Sector Wide Approach ( ASWAP ) in Malawi,Direct Project Support,Grant,AGRICULTURE,Food and Agriculture Organisation,16/09/2011,01/04/2011,15/09/2012,None,Ongoing,8722624010936,1050098,335961, , , , , , , , , , , , , , , , ,49458,70532,90549,44375,254914
Food and Agriculture Organisation,Strengthen Food Security Disaster Risk Reduction ( DRR ) and capacity in areas prone to climatic shocks and natural hazards in Malawi and Mozambique,Direct Project Support,Grant,AGRICULTURE,Food and Agriculture Organisation,,01/11/2011,31/12/2011,NGO,Ongoing,8722612610982,383836,348813, , , , , , , , , , , , , , , , , ,61284,176887,82642,320813
Food and Agriculture Organisation,Rope Pump Affordable irrigation for Smallholder farmers combined with diversifying into nutritious crops and improving local water balance,Direct Project Support,Grant,AGRICULTURE, ,,01/01/2011,31/12/2011,None,Ongoing,8722624010937,10000,16390, , , , , , , , , , , , , , , , ,16390, , , ,16390
Food and Agriculture Organisation,Enhancing Food and Income Security among Rural Resource Poor Households through provision of support to small scale irrigation groups,Direct Project Support,Grant,AGRICULTURE,Ministry of Agriculture and Food Security,,01/01/2011,31/12/2011,None,Planned,8722612610917,10000,15519, , , , , , , , , , , , , , , ,5571,9948, , , ,15519
Food and Agriculture Organisation,Conservation Agriculture Coordination and Advocacy in Southern Africa,Direct Project Support,Grant,AGRICULTURE, ,01/11/2010,,31/12/2010, ,Ongoing,8722612610850,38000,43745, , , , , , , , , , , , , , ,5258, , ,13086,24327,1074,43745
Food and Agriculture Organisation,Building Capacity to meet Community-Level Nutritional needs of People Living with HIV ( PLHIV ),Direct Project Support,Grant,AGRICULTURE,Food and Agriculture Organisation,,31/03/2010,31/12/2010,NGO,Ongoing,8722612610816,71900,140842, , , , , , , , , , , , , , ,3526, , , , , ,3526
Food and Agriculture Organisation,"Strengthening Institutional Capacity for Gender,HIV and AIDS mainstreaming in the Agricultural Sector",Direct Project Support,Grant,AGRICULTURE,Food and Agriculture Organisation,,01/03/2010,31/12/2010,None,Ongoing,8722612610815,50560,12620, , , , , , , , , , , , , , ,9515,3105, , , , ,12620
Food and Agriculture Organisation,Humanitarian Food Assistance for Vulnerable Populations in the South-East African and South-West Indian Ocean Regions affected by Natural disasters,Direct Project Support,Grant,AGRICULTURE,Ministry of Agriculture and Food Security,01/01/2010,,14/09/2011,None,Ongoing,8722612610807,435643,460037, , , , , , , , , , , , , ,74793,178979,63080,78430,60625,4130, ,460037
Food and Agriculture Organisation,Strengthening Institutional Capacity of the Agricultural Sector to addressthe Impact of HIV and AIDS on Food and Nutrition Security and Rural Livelihoods,Direct Project Support,Grant,AGRICULTURE,Ministry of Agriculture and Food Security,22/01/2010,22/01/2010,01/05/2011, ,Ongoing,8722612610715,358000,315712, , , , , , , , , , , , ,41478, ,40405,136492,63301,34036, , ,315712
Food and Agriculture Organisation,Scale Up of Millenium Villages Project Approaches and Best Practices into National Development Policies and Agri-business,Direct Project Support,Grant,AGRICULTURE,Food and Agriculture Organisation,12/09/2008,01/01/2010,31/12/2010,NGO,Ongoing,8722612610650,25000,11977, , , , , , , , , , , , , , , ,11977, , , , ,11977
Food and Agriculture Organisation,Provision of Social Support and Capacity Building to most vulnerable Household through Up Scaling of Junior Farmer Field and Life Schools ( JFFLS ) in Malawi,Direct Project Support,Grant,AGRICULTURE,Food and Agriculture Organisation,12/09/2008,01/01/2010,31/12/2010,NGO,Ongoing,8722612610649,500000,386011, , , , , , , , , , , ,64961,80534,61286,77537,62803,15307,839,841,16414,380522
Food and Agriculture Organisation,Strengthening Livelihoods of Households affected by HIV and AIDS through Livestock Support,Direct Project Support,Grant,AGRICULTURE,Food and Agriculture Organisation,12/09/2008,01/01/2010,31/12/2010,NGO,Ongoing,8722612610648,200000,26063, , , , , , , , , , , , , ,26063, , , , , , ,26063
Food and Agriculture Organisation,Strengthen Coordination Mechanisms for Food and Nutrition Security Policies and Plans,Direct Project Support,Grant,AGRICULTURE,Ministry of Agriculture and Food Security,12/09/2008,01/01/2010,31/12/2010,None,Ongoing,8722612610647,107000,96395, , , , , , , , , , , , ,87769,8626, , , , , , ,96395
Food and Agriculture Organisation,Capacity Development in Food and Nutrition Security,Direct Project Support,Grant,AGRICULTURE,Food and Agriculture Organisation,12/09/2008,01/01/2010,31/12/2010,NGO,Ongoing,8722612610646,480000,194673, , , , , , , , , , , , ,44631,829,76837,65929, ,867,4892,688,194673
Food and Agriculture Organisation,"Conservation of the natural resource base, increasing productivity and protecting natural resources in Machinga, Mangochi, Balaka and Kasungu Districts",Direct Project Support,Grant,AGRICULTURE,Food and Agriculture Organisation,12/09/2008,01/01/2010,31/12/2010,NGO,Ongoing,8722612610644,360172,437210, , , , , , , , , , , ,31073, ,80287,158879,55122, ,22323,89526, ,437210
Food and Agriculture Organisation,Promoting Conservation Agriculture for Sustainable Food Production,Direct Project Support,Grant,AGRICULTURE,Food and Agriculture Organisation,12/09/2008,01/01/2010,31/12/2010,NGO,Ongoing,8722612610643,294722,132360, , , , , , , , , , , ,20062,10496,12334,45856,34671,5272,3669, , ,132360
Food and Agriculture Organisation,Promoting Intergrated Small Scale Irrigation & Fish Farming for SustainableFood Production AND Economic Growth ( 2009 and 2010 ),Direct Project Support,Grant,AGRICULTURE,Food and Agriculture Organisation,12/09/2008,01/01/2010,31/12/2010,NGO,Ongoing,8722612610642,517000,266402, , , , , , , , , , , , ,75147,2822,111934,76499, , , , ,266402
Food and Agriculture Organisation,"Strengthening Institutional Capacity for gender, HIV and AIDS mainstreaming in the Agriculture Sector",Direct Project Support,Grant,AGRICULTURE,Ministry of Agriculture and Food Security,12/09/2008,01/01/2010,31/12/2010,None,Ongoing,8722612610640,156000,35411, , , , , , , , , , , ,22963,10186,1107,1155, , , , , ,35411
Food and Agriculture Organisation,Contribution of the Government of Canada to FDAO's Global Programme for Highly Pathogenic Avian Influenza Control and Eradication in Support of Africa and other Regions,Direct Project Support,Grant,AGRICULTURE,Ministry of Agriculture and Food Security,02/01/2010,02/01/2010,31/03/2010,None,Ongoing,8722612610585,3000,5709, , , , , , , , , , ,5709, , , , , , , , , ,5709
Food and Agriculture Organisation,Coordiantion of Agricultural Emergency relief and Rehabilitationinterventions in vulnerable countries of Southern Africa,Direct Project Support,Grant,AGRICULTURE,Food and Agriculture Organisation,01/01/2010,,31/03/2010,NGO,Ongoing,8722612610584,10000,9118, , , , , , , , , , ,9118, , , , , , , , , ,9118
Food and Agriculture Organisation,One Family One Fruit Tree,Direct Project Support,Grant,AGRICULTURE,Food and Agriculture Organisation,12/09/2008,01/01/2009,08/01/2011,NGO,Ongoing,8722612610583,198000,166344, , , , , , , , , , ,47376, , , , , ,36541,9952,48800,23675,166344
Food and Agriculture Organisation,"Early Detection, Reporting and Surveilance for Avian Influenza",Direct Project Support,Grant,AGRICULTURE,Food and Agriculture Organisation,,,,NGO,Ongoing,8722612610560,48364,6447, , , , , , , , ,5872,575, , , , , , , , , , ,6447
Food and Agriculture Organisation,Up Scaling Conservation Agriculture for Improved Food Security Using the CAADP Framework ( UP-CA ),Direct Project Support,Grant,AGRICULTURE,Ministry of Agriculture and Food Security,,,05/05/2010,None,Ongoing,8722612610559,33618,25155, , , , , , , , ,994, ,12479,11682, , , , , , , , ,25155
Food and Agriculture Organisation,UN and Partners Alliance for Livelihood Based Social Protection for Orphans and other Children made vulnerable by HIVand AIDS ( OVC ),Direct Project Support,Grant,HEALTH,Ministry of Agriculture and Food Security,01/12/2008,,01/06/2009,None,Closed,8722612610558,43000,39084, , , , , , , , ,8184,30900, , , , , , , , , , ,39084
Food and Agriculture Organisation,"Regional Dissemination of Knowledge, Information and Experiences on Conservation Agriculture ( CA ) Activities in Southern Africa",Direct Project Support,Grant,AGRICULTURE,Ministry of Agriculture and Food Security,,,,None,Ongoing,8722612610554,85900,70085, , , , , , , , ,23052,46594,439, , , , , , , , , ,70085
Food and Agriculture Organisation,Regional Support to alleviate the impact of soaring food prices on the most affected vulnerable farming families ot the Southern African Subregion,Direct Project Support,Grant,AGRICULTURE,Ministry of Agriculture and Food Security,07/07/2009,,28/02/2010,None,Ongoing,8722612610553,5400,8664, , , , , , , , ,1250,2664,2250,2500, , , , , , , , ,8664
