Donor,Project Title,Objective,Project Description,Actual Start Date,Actual Completion Date,Financing Instrument,OECD/DAC Sectors,2008 Actual Commitments,2009 Actual Commitments,2010 Actual Commitments,2011 Actual Commitments,2012 Actual Commitments,2013 Actual Commitments,2014 Actual Commitments,2015 Actual Commitments,Total Actual Commitments
European Investment Bank,Filière-du-vin Upgrading,"· Restructuring the wine sector and support industries and promoting the production of quality wine, i.e. wines of Protected Designation of Origin (P.D.O.) or Protected Geographical Indication (P.G.I.);· Improving the quality and consistency of wines produced in Moldova beginning with the quality of vineyards to the final packaging and dispatch of products;· Diversifying the country's export markets by guaranteeing the authenticity of wine products;","Moldova's Wine Sector Restructuring Program has been created by the Government of the Republic of Moldova and the EIBk to address the structural weaknesses in the Moldovan wine industry. This project is directed on small and medium sized enterprises, by restructuring the wine industry, improving the quality and consistency of wine produced in Moldova from the quality of vineyards to the final packaging and dispatch of products, and diversifying the country’s export markets. The proceeds of the Loan are to be used exclusively for developing the production of bottled wines of “Protected Designation of Origin” or “Protected Geographical Indication” and are not be used for the expansion of area in Moldova used for the cultivation grapes.",23/11/2010,22/11/2016," - Grant
 - Soft Loan",250 - BUSINESS AND OTHER SERVICES,0,0,75000000,0,0,0,0,0,75000000
European Investment Bank,Water supply and sanitation Project in Chisinau,Improving of water quality in Chisinau,"The program provides the infrastructure rehabilitation of water supply system and sanitation in Chisinau, in particular: - Rehabilitation of water supply and sanitation inter-districts; - Reconstruction the water treatment station in Chisinau (stage II); - Purchase of equipment;",07/02/2014,07/02/2018," - Grant
 - Soft Loan",140 - WATER AND SANITATION,0,0,0,0,0,0,24000000,0,24000000
European Investment Bank,Moldova North Water Project,"To develop regional water supply system in Northern Moldova on the backbone of the existing Soroca-Balti Pipeline, and to improve the quality and efficiency of water and wastewater services in the operation area.","The Project comprises priority capital investments to (i) rehabilitate the Soroca-Balti Pipeline and existing water networks in the project region, (ii) expand existing water networks and increase new connections to the Soroca-Balti Pipeline and within Rayons, (iii) reduce water losses, and (IV) finance energy efficiency components.",30/07/2014,31/12/2018," - Grant
 - Soft Loan",140 - WATER AND SANITATION,0,0,0,0,0,0,10000000,0,10000000
European Investment Bank,Management and TA Support to Moldova Flood Protection Project,The main objective of the project is to contribute to the reduction of the incidence of natural disaster caused by floods that affect the population and goods of Moldova.,"In the framework of European Neighbourhood Policy (ENP) the European Investment Bank, following a request for support from Ministry of Environment further to the 2010 floods, decided to develop a countrywide flood management Master Plan and an Investment Programme, funded by EPTATF (Eastern Partnership Technical Assistance Trust Fund). In order to define this Investment Programme, BETA Studio srl and HR Wallingford Ltd have been appointed to prepare the ""Management and TA Support to Moldova Flood Protection Project"".",24/10/2013,11/04/2015,Grant,400 - MULTISECTOR/CROSS-CUTTING,0,0,0,0,0,1588800,0,0,1588800
European Union,Eastern Partnership in Pedagogical Innovations in Inclusive Education - INOVEST (Tempus-530417-2012),"To contribute to the development and implementation of Pedagogical Innovations in Inclusive Education policy in Belarus, Ukraine and Moldova and greater coordination of lifelong learning professional formation in education through the enhancement of the quality and relevance of the Belarusian, Ukrainian and Moldovian universities in the provision of proffessional teachers’ training in Pedagogical Innovations in Inclusive Education","The project's specific objectives are:-The creation of a methodological and educational framework for the development and implementation of professional teachers’ training programmes in Pedagogical Innovations in Inclusive Education by October 2015 and their further development and sustainable functioning within universities' structures;-The establishment and launch of a national network of promoters of Pedagogical Innovations in Inclusive Education for the support and implementation of innovative education in Belarus, Ukraine and Moldova.The specific objectives will lead to the achievement of the wider project objective, which is “To contribute to the development and implementation of Pedagogical Innovations in Inclusive Education policy in Belarus, Ukraine and Moldova and greater coordination of lifelong learning professional formation in teachers education”.To achieve these objectives, the project foresees the realization of the following outcomes and outputs:1. Increased knowledge on the implementation of Pedagogical Innovations in Inclusive Education through sharing of experiences and visions on the progress of innovative education at national and regional levels2. Publication of a resource guide on Pedagogical Innovations in Inclusive Education and professional teachers training 3. Establishment and launch of the Teacher Training programmes for Pedagogical Innovations in Inclusive Education4. Development and implementation of new curricula and courses for Teacher Training5. Development of a regional network of promoters of Pedagogical Innovations in Inclusive Education.Everyday activity of the partner countries' universities and a network of promoters in Pedagogical Innovations in Inclusive Education assures the development of a system of initial and continuing education in the area of innovative education in Belarus, Ukraine and Moldova. The project results will be presented during conferences, seminars, on a web site, in newsletters and mass-media.",15/10/2012,15/10/2015,Grant,150 - GOVERNMENT AND CIVIL SOCIETY,0,0,0,0,443030,0,0,0,443030
European Union,"RESPONSE IMPROVE EMERGENCY MEDICAL SERVICE, RESUSCITATION AND EXTRICATION (SMURD) IN CASE OF EMERGENCY PREPAREDNESS AND RESPONSE WITHIN THE JOINT SPACE RO-UA-MD",Improving public emergency services in the border area. Developing long-term solutions to the problems of emergency situations management by creating adequate border infrastructure for services to attenuate the consequences of emergency situations. Consolidation of cooperation between the profile services of Romania and Moldova,"Modernization and fill the fleet of trucks, in the context of development of the international cooperation to unify the common actions in the liquidation of emergency situations in the common borders",07/03/2013,07/03/2015,Grant,150 - GOVERNMENT AND CIVIL SOCIETY,0,0,0,0,0,1000700,0,0,1000700
European Union,MOLDOVA ROAD REHABILITATION III PROJECT (NIF CONTRIBUTION),The general objective of the project is to facilitate economic growth and regional integration of the Republic of Moldova,"The new proposed project is a continuation of the existing engagement of International Financing Institutions and the EU in the road sector and will involve rehabilitation of priority road sections identified in the Land Transport Infrastructure Strategy, reconfirmed in May 2010, for which feasibility and design have been finalised. The investment will bring positive transport interconection effects by rehabilitation the Chisinau-Ungheni-Sculeni road. This road is one of the main roads connecting the Republic of Moldova to the EU and is part of a central east-west corridor linking Romania-Republic of Moldova-Ukraine and part of the Extension of the Trans- European Transport Network. Also it will contribute to the construction of the Ungheni bypass forming part of the R1 Chisinau-Ungheni-Sculeni Romanian border road.",06/12/2011,05/12/2017,Grant,210 - TRANSPORT AND STORAGE,0,0,0,16200000,0,0,0,0,16200000
European Union,DEVELOPMENT OF QUALITY ASSURANCE IN HIGHER EDUCATION IN MOLDOVA,The goal of the project is making QA at Moldovan HEI functional and conducive to HEI strategy development.,"The Moldovan HEIs have QA structures in place, but their activity remains at a very formalistic level. A pre-project needs analysis conducted by the UL demonstrated that the main reasons for the low impact of QM structures at HEIs are a lack of training in self evaluation, a lack of understanding of the idea behind a quality culture, a very low level of students’ involvement in QA, a lack of dialogue between the QA structures and the academic staff and the missing “link” to the systems level due to the absence of a requirement for external accreditation in RoM.",15/10/2012,15/10/2015,Grant,110 - EDUCATION,0,0,0,0,845754,0,0,0,845754
European Union,LEADING AND MANAGING CHANGE IN HIGHER EDUCATION,"The project’s overall objective is to promote the modernization of Partner Countries(PCs)’ higher education systems by building governance and management capacities at PC HEIs, initiating sustainable dialogue on HEIs institutional reforms among relevant interest groups, and empowering students to become more actively involved in decision making at HEIs","The La MANCHE project addresses the regional priority of university management and student services in the Eastern Neighboring Area within the Governance reform programme theme. It is prompted by efforts to develop leadership skills and to introduce the culture of streamlined change management in academic settings in the context of national and international modernization processes in HE. These issues have been broadly researched by experts from the participating EU HEIs. Their importance and relevance for the currently modernizing and Europeanizing HESs in Partner Countries (PCs) have been confirmed by experts from PC HEIs in the initial project development phase. Professionalization of the senior management, improvement of human resource management and involvement of all stakeholders in institutional reforms are already among the strategic institutional goals of PC HEIs.The following main shortcomings in PCs have been singled out by the PC HEIs and, hence, will be addressed by the project: 1) Governance models at HEIs are dominated by traditional top-down management approaches. Leadership skills are generally lacking. This is due to the fact that most senior university managers are not educated managers; 2) Human resource management practices are outdated. Mechanisms for overcoming change resistance are lacking; 3) Key stakeholders in the HE field are insufficiently involved in the processes of change.",15/10/2012,15/10/2015,Grant,110 - EDUCATION,0,0,0,0,155121,0,0,0,155121
European Union,ENHANCING THE UNIVERSITY AUTONOMY IN MOLDOVA (EUNIAM),Quality enhancement of university governance and financial autonomy in the Republic of Moldova.,The EUniAM project is a structural measures project that seeks to contribute to the development and enhancement of higher education institutions and national educational system in the Republic of Moldova. The project aims to enhance the university autonomy by proposing legislative changes to the higher education legal framework in the Republic of Moldova.,15/10/2012,15/10/2015,Grant,110 - EDUCATION,0,0,0,0,1123344.46,0,0,0,1123344.46
European Union,Fostering Sustainable and Autonomous Higher Education Systems in the Eastern Neighbouring Area (ATHENA),The project contributes to the development and modernization of Higher Education (HE) systems in the Partner Countries (PCs) by focusing on improving the framework conditions for institutions. Its general objectives are to enhance institutional and financial autonomy and accountability of Higher Education Institutions (HEIs) in the PCs and build the corresponding capacities within HEIs and their staff.,"ATHENA will contribute to the modernisation of higher education systems in the Eastern Neighbouring Partner Countries of Armenia, Moldova and Ukraine by focusing on improving the framework conditions for higher education institutions. Its general objective is, to enhance the institutional and financial autonomy and accountability of highe",15/10/2012,15/10/2015,Grant,110 - EDUCATION,0,0,0,0,189956,0,0,0,189956
European Union,Inter-universities Start-Up Centers for Students' Innovations Development and promotion,"The project main idea is to develop training courses and distance learning system to increase business activity and creativity of university students, and to organize an informational support of their start-up projects in the frames of Start-up centers established at the universities. This will help students to gain knowledge and experience in innovation business, intellectual property rights protection, real-world business projects development, sustainable relationships with domestic and foreign investors and partners. The expansion of business relations is mutually beneficial for both students and employers because it allows to increase creativity and practical value of university graduates, and provide an influx of new ideas into innovation business in partner countries.","The main objective of the project is to develop training courses and distance learning system to increase business activity and creativity of university students, and to organize an informational support of their start-up projects in the frames of Start-up centers established at the universities. The project will be realed through establishment of inter-university Start-up centres and cooperation network between consortium members based on international academic and professional experience (mobilities); modernization of engineering and computer science study programs and creation of methodology and training courses for creativity and competence improvement in innovations development, presentation and promotion; establishment of system of training for trainers and LLL and retraining in the field of innovation policy development.",15/10/2013,14/10/2015,Grant,110 - EDUCATION,0,0,0,0,0,100000,0,0,100000
European Union,"""Promoting sustainable production and implementation of good practices in the bovine farms from Romania, the Republic of Moldova and Ukraina cross-border region""","Monitoring of bovine animals production in terms of quantity and quality, creating didactic cattle breeding farm",Creating a common network of monitoring centers bovine production in terms of quantity and quality in the three partner countries; Making a joint border survey on production and bovine farms in the three countries; Develop and implement a software sharing - tool for monitoring the quality of milk and meat production; Making 2 pilot farms for qualitative and quantitative determinations in Romania and Republic. Moldova; Campaign implemented training / information and dissemination of specific information to stakeholders in the sector in all three regions,01/10/2013,31/07/2015,Grant,311 - AGRICULTURE,0,0,0,0,0,416000,0,0,416000
European Union,"Cross-Border Ecological agriculture network, “EcoAgriNet”","Growth of cross-border cooperation Romania-Republic of Moldova in reduction of socio-economic activities impact on cross-border environment To boost the interaction between farmers and ecological agriculture service providers in the field of promotion and development of organic agriculture in the cross-border area. The project target area has a great potential for ecological agriculture and its development will considerable contribute to the boosting of the agricultural sector of the program area, enabling the agricultural producers to increase their businesses and incomes in a durable manner. Through increasing the local culture in domain will not be strengthen only the farmers' skills, but will be increased the level of consumption of ecological production.","Proiectul “Retea Transfrontaliera pentru agricultura ecologica EcoAgriNet 2” a fost elaborat _i prezentat spre finansare de Asociatia Ob_teasc_ “CUTEZ_TORUL” din or. F_le_ti, Republica Moldova în parteneriat cu Asocia_ia Euroconcept, mun. Botosani, Romania, Centrul de Dezvoltare Comunitara Iasi, Romania, Centrul Bucovinean pentru Reconstructie si Dezvoltare, mun. Cernauti, Ucraina, Federatia Nationala a Agricultorilor din Moldova AGROinform, mun. Chisin_u. Ela are ca scop îmbun_t__irea situatiei economice si de mediu în arealul transfrontalier România-Ucraina- Republica Moldova, prin intensificarea cooperarii transfrontaliere intre actorii locali din zona tinta, in domeniul dezvoltarii _i promov_rii agriculturii organice. El va fi derulat pe o perioada de 18 luni _i are un buget de 165206 EURO.",01/10/2013,31/03/2015,Grant,311 - AGRICULTURE,0,0,0,0,0,100734.58,0,0,100734.58
European Union,Transparent Convergence to EU Policies in Sanitary Issues: the case of Georgia and Moldova,- To contribute to improved socio-economic conditions for the citizens of Georgia and Moldova through supporting the transparent convergence to EU policies in sanitary and phyto-sanitary issues,"The proposed action aims at contributing to improved socio-economic conditions for the citizens of Georgia and Moldova through supporting the transparent convergence to EU policies in sanitary and phyto-sanitary (SPS) issues. The action is both well-timed and relevant in its efforts (1) to enhance stakeholder understanding of and adherence to SPS standards and (2) to contribute to improved food safety legislation and practice in both countries. To achieve these specific objectives, EPF and EEF will target Georgian and Moldovan non-state actors (NSAs), public authorities, consumers, and food operators, in order to enhance their capacity related to SPS issues and foster improved cooperation among the target groups. This will result in (1) informed and active consumers, (2) more competitive food operators, and (3) national food safety frameworks that are both in line with EU standards and balance the diverse interests of all stakeholders.",01/11/2013,29/02/2016,Grant,311 - AGRICULTURE,0,0,0,0,0,4609.819,0,0,4609.819
European Union,Creation of a trilateral cross border network for development and marketing of the agro-alimentary local and traditional products in the Lower Danube cross border area,Overall objective: Improvment of the rural economic performance in the Lower Danube crossborder area,"The project idea is to create, in Lower Danube rural area, a cross border network to support and encourage the production and marketing of local agro-alimentary products made in a traditional way. The action is based on local entrepreneurial facilities creation for a sustainable valorisation of the local food products, on the reinforced skills and the training of the local producers and on new microbusiness created in three processing centres (rural affairs incubators). The network will offer local rural producers space to transform, in an organised frame, their agricultural products into agro alimentary ones, preserving their culinary traditions, obtaining new added value to their agricultural primary products and superior quality of their final products.",08/11/2013,08/08/2015,Grant,311 - AGRICULTURE,0,0,0,0,0,394095.28,0,0,394095.28
European Union,UTILIZING STREAM WATERS IN THE SUPPRESSION OF FOREST FIRES WITH THE HELP OF NEW TECHNOLOGIES,Perfection of forests fires suppression services in forest zones. Development of long-term solutions in relation to management of emergency situations by cration of infrastructure top revent the forest fires. Consolidation of cooperation between profile authorities in the Black Sea Region.,Development of the methodology of prevention of fires in forests by accumulation of springs waters and use them for fires suppression. Perfection of readiness for suppression of forest fires.,02/04/2013,02/04/2015,Grant,312 - FORESTRY,0,0,0,0,0,113233,0,0,113233
European Union,Moldova towards EU regional and cross-border development “REGDEV”,"The REGDEV aims: 1: To contribute to economic integration of Moldova into EU space through its regional and cross-border cooperation development in the framework of the European Neighbourhood Policy. 2: To contribute to the development of quality teaching, innovative research and human resources in the field of EU and regional development in the Moldovan higher education landscape in cooperation with students, academics, civic society and local governments. 3: To contribute to lifelong learning by establishing a network of young and distinguished scholars working on research related to the European Union integration process.","Considering the significant regional disparities in Moldova, the lack of a strategic policy framework on regional development and weak implementation capacities there is an increasing need for Moldova to work towards regional and cross-border cooperation development with the aim of promoting economic and social cohesion, human development and tackling regional imbalances in the process of the European integration in the framework of the European Neighbourhood Policy. The REGDEV aims: 1: To contribute to economic integration of Moldova into EU space through its regional and cross-border cooperation development in the framework of the European Neighbourhood Policy. 2: To contribute to the development of quality teaching, innovative research and human resources in the field of EU and regional development in the Moldovan higher education landscape in cooperation with students, academics, civic society and local governments. 3: To contribute to lifelong learning by establishing a network of young and distinguished scholars working on research related to the European Union integration process.",01/09/2013,31/08/2016,Grant,400 - MULTISECTOR/CROSS-CUTTING,0,0,0,0,0,35904,0,0,35904
European Union,Maritime network education for the development of the maritime culture in the Black Sea basin,"gaze offshore (de pe uscat si mare), porturi, cercetarea de mediu, _tiin_e umaniste _i a_a mai departe). The overall objective of this joint Action is the development of the maritime culture in the Black Sea basin through emphasizing the common maritime traditions of the partner countries and enhancing the preparedness of the professionals involved in the maritime industry (maritime/river transportation, shipbuilding, fisheries, offshore oil/gas extracting industry, ports, environmental research, humanities and so on).","Programul Opera_ional Comun in Bazinul M_rii Negre al Uniunii Europene 2007-2013 este un subprogram în cadrul programului European de Vecin_tate _i Parteneriat (ENPI) si are drept scop de a contribui la: ""o dezvoltare economic_ _i social_ mai puternic_ _i durabil_ a regiunii Bazinului Marii Neagre.Obiectivele specifice fiind: Promovarea dezvolt_rii economice _i sociale în zonele de frontier_; Cooperarea în solutionarea problemelor; Cooperarea people-to-people. The Black Sea Basin Joint Operational Programme 2007-2013 is a programe under the European Neighborhood & Partnership Instrument (ENPI) of the European Union.It aims to contribute to : „a stronger and sustainable economic and social development of the regions of the Black Sea Basin”.The programme ’ s three specific objectives , are:Promoting economic and social development in the borders areas;Working together to address common challenges; Promoting local, people-to-people cooperation",12/03/2013,11/11/2015,Grant,160 - OTHER SOCIAL INFRASTRUCTURE AND SERVICES,0,0,0,0,0,329647,0,0,329647
European Union,"SAY CHEESE: EASTERN PARTNERSHIP FAMILY ALBUM. Capacity building, networking and promotion of thematic Eastern Partnership photography","De a contribui la dezvoltarea fotografiei tematice a Parteneriatului estic (fotografia ce reprezinta tarile Parteneriatului estic din diferite aspect: cultura, oameni, modul de viata, orase si regiuni, dezvoltarea afacerilor, oportunitati turistice, etc.) in regiunea Parteneritului estic si crearea unei imagini positive a Parteneriatului estic in regiune si in afara ei To enhance development of the so-called thematic Eastern Partnership photography (photography that demonstrates Eastern Partnership countries from various angles, such as culture, people, way of life, nature, cities and regions, business development, tourism opportunities etc.) in the Eastern Partnership region and to contribute to the creation of the positive image of Eastern Partnership within the region and beyond it.","Pe parcursul a doi ani si jumatate fiecare tara partener va gazdui un sir de evenimente, inclusive mese rotunde, conferinte, seminare, business forumuri, concursuri fotografice, expozitii. Partenerii vor crea o scoala virtual comuna, va fi publicat Albumul de Familie a Parteneriatului estic, ce va include cele mai bune fotografii a fotografilor din Belarus, Armenia, Georgia, Moldova, Ucraina si Azerbajan As part of the project, over the next two and a half years, each partner country will host a number of events including round tables, conferences, seminars, business forums, photo contests, exhibitions and open-airs. Partners will create a common online photo schooland, will publish an Eastern Partnership Family Photo Album, which will include best works of Belarusian, Armenian, Georgian, Moldovan, Ukrainian, and Azerbaijani photographers.",07/12/2012,07/07/2015,Grant,160 - OTHER SOCIAL INFRASTRUCTURE AND SERVICES,0,0,0,0,83153,0,0,0,83153
European Union,Strengthening the Transplant Agency of the Republic of Moldova and support in legal approximation in the area of quality and safety of substances of human origin,"To contribute to a better quality and safety of transplantations of human organs, tissues, and cells in the Republic of Moldova", ,01/12/2013,01/12/2015,Grant,120 - HEALTH,0,0,0,0,0,1178464.28,0,0,1178464.28
European Union,Development of the agriculture sector through creation af an agricultural cross-border network,"Increasing productivity and competitiveness of the agricultural sector through increased contact of partners on both sides of the border, in order to improve the economic situation in the program area. This objective is related to the objectives of Measure 1.1 1.1 Improving the productivity and competitiveness of rural areas and urban areas by CBC","The purpose of this project is to create a cross-border agricultural network in order to develop the agricultural sector from the cross-border area. The main link of this cross – border network is the Agro-Industrial Logistic Park from Sîngerei. Inside this Agro – Industrial Logistic Park will be offered services for the agricultural producers: services of sorting, packaging and storage and support services (consulting services in different domains: management, procurement, marketing, product development, accouting). The second link of the cross-border network is the Viilor Marketplace from Boto_ani, where an Exhibition Corner will be created, where the producers can present their products. The third link of the cross-border network is the Online Cross-Border Marketplace, for presenting and selling the products.",01/11/2013,31/08/2015,Grant,311 - AGRICULTURE,0,0,0,0,0,552597.194,0,0,552597.194
European Union,Quality Certification System in Agrotourism CerTour,To promote the agrotourism in the partners' regions and to improve the quality of the services provided by introducing a common specific quality standard and a certification process,"Agrotourism (or agritourism, or rural tourism) is the form of tourism, which capitalizes on rural culture as a tourist attraction. Although there is not a global definition, it can be said that it is a form of tourism that combines primary elements and characteristics of agriculture and tourism and provides an experience for visitors that stimulates economic activity and impacts both farm and community income. Nowadays, agrotourism has been recognized as an important alternative type of tourism, generating a significant supplementary income for the population of rural areas, leading to regional and rural development, but also being a business venture of travel and tourism professionals. There are many problems in the agrotourism sector in the Black sea area and Region Anatoliki Makedonia-Thraki: the infrastructure is usually poor and can not offer the comforts requested from the customers; the human capital of the agrotourism is generally not well trained and experienced, so a lack of skilled professionals and workers is appearing; the quality of services is not assured. There are no quality standards and, in most cases, there is not any classification system; the agrotourism product of the region is not promoted; there are no customers' satisfaction surveys reported, so the agrotourism SMEs do not undertake improvement initiatives in a systematic manner. The aim of the joint action for the cross border partners’ organisations from Greece, Bulgaria, Armenia Georgia, Moldova and Ukraine is to improve the services provided in the agrotourism sector. Their knowledge and expertise is now being mobilised for the benefit for rural development and the tourism of the research area by CerTour.",17/04/2013,16/04/2015,Grant,332 - TOURISM,0,0,0,0,0,18954,0,0,18954
European Union,The Reduction of pollution effects ans soil erosion through the extension of management capacity of waste water,"The strengthening of the cross-border collaboration, in the eligible area of the program, in order to diminish the pollution and soil erosion effects through the extention of the wastewater management capacity. The public authorities from the eligible area of the program will benefit from the results and from the good practices coming from the wastewater management area, as a result of the current project implementation",,27/11/2013,26/09/2015,Grant,400 - MULTISECTOR/CROSS-CUTTING,0,0,0,0,0,321819,0,0,321819
European Union,REGIONAL BUSINESS INCUBATORS’ NETWORK,"Overall objective: Accelerate the development of a productive and competitive economy and improve cooperation in the Black Sea Region, by Creating a Black Sea Business Incubators’ Network.","The project “Black Sea Business Incubators’ Network “Black Sea BI-Net” aims to accelerate the development of a productive and competitive economy and improve cooperation in the Black Sea Region, by Creating a Black Sea Business Incubators’ Network, by exchanging experiences and know-how between the Business Incubators’, and by supporting incubated SMEs to internationalize.",27/03/2013,27/03/2015,Grant,250 - BUSINESS AND OTHER SERVICES,0,0,0,0,0,128804,0,0,128804
European Union,"Developing cross border tourism by promoting the Mansion of Manuc Bey, Elena Ioan Cuza Mortuary Complex and the Blesciunov Mansion",Improvement of the economic and social situation from the corss-border region by increasing the contribution of the tourism sector to the regional economy and developing sustainable capitalization opportunities within the Hincesti-Vaslui and Odessa Region.,"All 3 objects – Manuc Bey Mansion within a Museum and Tourist Complex from Hincesti Town (Republic of Moldova), Elena Cuza Mortuary Complex from Solesti Commune (Romania) and the Bleschunov Museum (Odessa, Ukraine) possess a high historical and architectural value. But their real potential is not sufficiently capitalized. The basic problems which cause this situation reside in: the lack of a tool for an integrated management of information to facilitate the collection and recording of exhibits; insufficient promotion of these tourist objects; non-existent equipments which will create opportunities for the growth of attractiveness of these institutions; poor knowledge about the importance of the tourism among the population; the lack of the own funding for tourism investments; insufficient usage of information means and Internet possibilities for promoting these objects etc. To solve these problems, the project will focus on: rehabilitating the Manuc-Bey Mansion; restoring the Elena Cuza Mortuary Complex; improving the conditions of activity at the Bleschunov Museum in Odessa, especially by modernizing the air conditioning system; including in the tourist circuit the Tourist and Museum Complex „Manor-Park Manuc-Bey”; procuring and installing of info-kiosks in the proximity of the mentioned objects in all 3 countries.",30/10/2013,30/08/2015,Grant,332 - TOURISM,0,0,0,0,0,686505.27,0,0,686505.27
European Union,Cross border infrastructure (communication infrastructure between Romania and Republic of Moldova),"Increasing cooperation capacity of the information exchange on the public authorities of Romania and Republic of Moldova cross border area, trough the implementation of an integrated communication system.", ,04/09/2013,04/08/2015,Grant,150 - GOVERNMENT AND CIVIL SOCIETY,0,0,0,0,0,1410340,0,0,1410340
European Union,Cross-border interdisciplinary cooperation for the prevention of natural disasters and mitigation of environmental pollution in Lower Danube Euroregion,"Overall objective: Enforcing of cross-border cooperation aiming to elaborate long-term solution for pollution mitigation, sustainable development and emergency preparedness in the Lower Danube Euroregion","Enforcing of cross-border cooperation aiming to elaborate long-term solution for pollution mitigation, sustainable development and emergency preparedness in the Lower Danube Euroregion. The main activities foreseen are in conformity with the proposed objectives: Creation of the interdisciplinary international network for disaster prevention and environmental impact assessment; accumulation of background data and complex environmental investigation of border areas; mapping by GIS software of environmental data; the results systematisation and presentation to the local authorities and other interested stakeholders; organization of seminars aimed to offer a better scientific support to the regional monitoring programs and raising public awareness on sustainable development; organization of scientific seminars, trainings and intercomparison exercises between partner laboratories and interested institutions (ecological, hydrological, meteorological and sanitary services agencies etc.) and acquisition of the modern analytical equipment for the complex environmental monitoring; elaboration of technical documents, preprint of recommendations, editing of methodological guide and their dissemination; permanent defining of project needs and constraints. The main result of the project is the establishment of new modalities for sustainable collaboration between the research institutes in the environmental protection domain from Romania, Moldova and Ukraine and different categories, groups of persons involved in this domain, including doctoral students, master students and young researchers.",01/11/2013,31/08/2015,Grant,400 - MULTISECTOR/CROSS-CUTTING,0,0,0,0,0,220228.47,0,0,220228.47
European Union,Brass Bands Across Borders,"Improving the socio-cultural situation in the border area by enhancing cultural and artistic exchanges between partners Romanian, Moldovan and Ukrainian","26 people - members of the band Children of the village Costiceni 18 people - members of Brass band House Cultural District or.Leova 13 people - members of Brass band from the Fundul V_ii, commune Lipov__ - Local community members interested in artistic and cultural events organized by the three out of - about 4000 people - Different institutions operating in each community (schools, churches, libraries, local public services) and will benefit from long-term entry-border cooperation in the cultural field and the development of this relationship in other areas of interest - Project team will benefit from the experience in project management",01/10/2013,31/03/2015,Grant,160 - OTHER SOCIAL INFRASTRUCTURE AND SERVICES,0,0,0,0,0,12305,0,0,12305
European Union,CULTURE Exchange Platform - CULTUR-EXP,"The overall objective is to enable the cross-border exchange of culture by providing an innovative, multi-lingual IT platform, based on available open source social platform solutions and adapted for culture producers (artists, etc.), culture operators (museums, festivals, etc.) and other actors of the culture market. The platform will be an online tool, where all entities related to the culture will be able to advertise, discuss and organize cultural assets and events in the region. The platform will also be an important source of information about the culture and related cultural events (artists, operators, events) for the culture consumers.","The project will create an online platform accessible from anywhere in the world and available in official languages of the region and in English. The platform itself will be implemented in the region (IT efforts will concentrate in Georgia and Moldova),the data available in the platform will come from and will be provided by the regions covered by the call (Armenia, Burgas Region in Bulgaria, Moldova, Greece, Georgia) - the population of the content in the platform will be implemented physically by the partners in their respective regions. Finally the dissemination and management activities will be implemented in the region (to attract culture providers) and beyond (to attract foreign visitors). In particular the following regions will provide the following activities: Republic of Armenia (all regions) – drafting requirements and executing functional testing, content provision dissemination; Republic of Bulgaria, Nuts II region Yugoiztochen /South- East Planning Region/ - platform requirements and dissemination, cultural content supply, training activities; Greece, Region of Anatoliki Makedonia - Thraki – platform requirements and dissemination; Georgia (all regions) – project management, platform implementation, dissemination, training; Republic of Moldova (all regions) - platform requirements, participation in selection and adaptation of the platform software, training. The final result (a platform rich in cultural content) may in fact be installed in any place in the region, its services will be available anywhere in the world while its cultural content will be focused on the Black Sea Region. This is thanks to the fact that the Internet enables the access to virtually any of its resources from any part of the world in a transparent manner. Potential impact of the proposed solution, which by its nature is an online tool available for anyone with the access to the Internet, will not be limited by the borders, therefore we may state that it will be implemented in all ENPI regions covered by this call and beyond.",01/07/2013,30/06/2015,Grant,160 - OTHER SOCIAL INFRASTRUCTURE AND SERVICES,0,0,0,0,0,12786.63,0,0,12786.63
European Union,Artistic and cultural education in the context of sustainable cross border cooperation,"Promoting sustainable network for cooperation in artistic and cultural education through cross border partnership, zouth exchange, and joint activities", ,14/09/2013,14/03/2015,Grant,160 - OTHER SOCIAL INFRASTRUCTURE AND SERVICES,0,0,0,0,0,86815.32,0,0,86815.32
European Union,Support for Moldova in the implementation of The Deep and Comprehensive Free Trade Area,To support the implementation of the DCFTA in Moldova,"The project will supply quality research and policy advice to each of the groups of officials involved in implementing the DCFTA. In addition, the project will draft regulations, harmonize Moldovan legal texts, present the involved European directives, assess Moldovan equivalents and propose how Moldova should adapt and implement them. Further on the project will promote changes within line Ministries and influence the Government, Parliament etc indirectly. The project will influence civil society & business through publicity and presentations.",01/12/2013,30/11/2015,Grant,250 - BUSINESS AND OTHER SERVICES,0,0,0,0,0,1927000,0,0,1927000
