Project Title,Activity Created By,Activity Created On,Activity Updated By,Activity Updated On,AMP ID,SIAFI Code,Objective,Organizations and Project ID,Project Description,Executing Sector,Status,Actual Approval Date,Current Completion Date,Final Date for Contracting,Original Completion Date,Proposed Completion Date,Proposed Start Date,Mancomunidad,Implementation Level,Region,Zone,Donor Agency,Donor Commitment Date,Donor Group,Donor Type,Financing Instrument,Funding Organization Id,Type Of Assistance,Primary Sector,Primary Sector Sub-Sector,Primary Sector Sub-Sub-Sector,Secondary Sector,Secondary Sector Sub-Sector,Tertiary Sector,Responsible Organization,Executing Agency,Beneficiary Agency,National Planning Objectives,National Planning Objectives Level 1,National Planning Objectives Level 2,National Planning Objectives Level 3,Primary Program,Primary Program Level 1,Primary Program Level 2,Primary Program Level 3,Secondary Program,Secondary Program Level 1,Secondary Program Level 2,Secondary Program Level 3,Secondary Program Level 4,2006 Actual Commitments,2006 Actual Disbursements,2006 Actual Expenditures,2006 Planned Commitments,2006 Planned Disbursements,2006 Planned Expenditures, 2007 Actual Commitments,2007 Actual Disbursements,2007 Actual Expenditures, 2007 Planned Commitments,2007 Planned Disbursements,2007 Planned Expenditures,2008 Actual Commitments,2008 Actual Disbursements,2008 Actual Expenditures,2008 Planned Commitments,2008 Planned Disbursements,2008 Planned Expenditures,2009 Actual Commitments,2009 Actual Disbursements,2009 Actual Expenditures,2009 Planned Commitments,2009 Planned Disbursements,2009 Planned Expenditures,2010 Actual Commitments,2010 Actual Disbursements,2010 Actual Expenditures,2010 Planned Commitments,2010 Planned Disbursements,2010 Planned Expenditures,2011 Actual Commitments,2011 Actual Disbursements,2011 Actual Expenditures,2011 Planned Commitments,2011 Planned Disbursements,2011 Planned Expenditures,2012 Actual Commitments,2012 Actual Disbursements,2012 Actual Expenditures,2012 Planned Commitments,2012 Planned Disbursements,2012 Planned Expenditures,2013 Actual Commitments,2013 Actual Disbursements,2013 Actual Expenditures,2013 Planned Commitments,2013 Planned Disbursements,2013 Planned Expenditures,2014 Actual Commitments,2014 Actual Disbursements,2014 Actual Expenditures,2014 Planned Commitments,2014 Planned Disbursements,2014 Planned Expenditures,Total Costs Actual Commitments,Total Costs Actual Disbursements,Total Costs Actual Expenditures,Total Costs Planned Commitments,Total Costs Planned Disbursements,Total Costs Planned Expenditures
  Implantación de Protocolo de Familia y Ambito de Gobierno en PYMEs Hondureñas,ATL ATL (atl@amp.org),20/03/2012, ,22/05/2014,BAID099,,,ATN/ME-11127-HO [Fondo FOMIN] (Banco Interamericano de Desarrollo),,Sector Privado,Finalizado,06/08/2008,16/08/2013,,,16/08/2012,16/02/2009, ,Country/National, , ,Banco Interamericano de Desarrollo,16/02/2009,Organismo Internacional,Multilateral,Asistencia Técnica,ATN/ME-11127-HO [Fondo FOMIN],Donación / No reembolsable,321 - INDUSTRIA,32120 - Desarrollo industrial, ,4 - FORTALECIMIENTO INSTITUCIONAL,42 - Competitividad y MIPYMES,COMPETITIVIDAD E INNOVACIÓN,Banco Interamericano de Desarrollo,El Consejo Hondureño de la Empresa Privada, ,Visión de País,"Objetivo 3 - Una Honduras productiva, generadora de oportunidades y empleo digno, que aprovecha de manera sostenible sus recursos y reduce la vulnerabilidad ambiental",Meta 3.2: Ampliar la relación Exportaciones/PIB al 75%, ,Plan de Nación,Infraestructura Productiva como motor de la actividad económica,Tasa Nacional de Articulación Productiva (% de territorio con acceso a red vial primaria), ,Políticas Públicas y Estrategias Nacionales,F) - Estrategia Nacional de Competitividad,Eje 3: Ambiente Macroeconómico,3.3 Financiamiento de Actividades Productivas,3.3.2 Crédito a las MIPYMES como porcentaje del crédito total.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,711025,70000,0,729673,0,0,0,112648,0,0,0,0,0,132614,0,0,0,0,0,346642,0,0,0,0,0,49121,0,0,0,0,0,0,0,0,0,0,711025,711025,0,729673,0,0
  Servicio de Fomento Empresarial para MYPES en la Costa Norte de Honduras,Ana García [SRECI] (ana.garcia@sre.gob.hn),28/06/2012, ,22/05/2014,87171201729,, ,S/N (Servicio Holandés de Cooperación al Desarrollo), ,Autoadministrado por Socio al Desarrollo,Finalizado,01/10/2011,01/02/2012,,,,, ,Sub-national," - R01 - Valle de Sula
 - R04 - Valle de Lean
 - R05 - Valle de Aguán", ,Organización Holandesa de Cooperación al Desarrollo,01/10/2011,Holanda (Países Bajos),Bilateral,Asistencia Técnica, ,Donación / No reembolsable,250 - EMPRESAS Y OTROS SERVICIOS,25010 - Servicios e instituciones de apoyo a la empresa, ,4 - FORTALECIMIENTO INSTITUCIONAL,42 - Competitividad y MIPYMES, ,Servicio Holandés de Cooperación al Desarrollo,Servicio Holandés de Cooperación al Desarrollo,Organización Holandesa de Cooperación al Desarrollo,Visión de País,"Objetivo 3 - Una Honduras productiva, generadora de oportunidades y empleo digno, que aprovecha de manera sostenible sus recursos y reduce la vulnerabilidad ambiental", , ,Plan de Nación,"Competitividad, Imagen País y Sectores Productivos", , ,Políticas Públicas y Estrategias Nacionales,F) - Estrategia Nacional de Competitividad,Eje 3: Ambiente Macroeconómico,3.3 Financiamiento de Actividades Productivas,3.3.2 Crédito a las MIPYMES como porcentaje del crédito total.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6075,3075,0,0,0,0,0,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6075,6075,0,0,0,0
  APIM [Proyecto de Apoyo Directo para Inversiones Municipales],ATL ATL (atl@amp.org),20/03/2012, ,22/05/2014,ASDC017,,,AmCen 30 (Cooperación Suiza para el Desarrollo y la Cooperación),,Sector Público,Finalizado,01/04/2011,31/12/2012,,,31/12/2012,01/04/2011, ,Sub-national," - R02 - Valle de Comayagua
 - R13 - Golfo de Fonseca
 - R14 - Región Lempa"," - Ajuterique
 - Camasca
 - Cane
 - Colomoncagua
 - Concepción [Intibucá]
 - El Rosario
 - Humuya
 - La Paz
 - Lamaní
 - Lejamaní
 - Magdalena
 - San Antonio
 - San Antonio de Flores [Choluteca]
 - San Isidro
 - San José
 - San Marcos de la Sierra
 - San Pedro de Tutule
 - San Sebastián
 - Santa Lucía
 - Villa de San Antonio",Cooperación Suiza para el Desarrollo y la Cooperación," - 01/04/2011
 - 01/07/2012",Suiza,Bilateral,Proyecto,AmCen 30,Donación / No reembolsable,150 - GOBIERNO Y SOCIEDAD CIVIL,"151 - Gobierno y Sociedad Civil, general", ,4 - FORTALECIMIENTO INSTITUCIONAL,44 - Descentralización, ,Cooperación Suiza para el Desarrollo y la Cooperación," - Asociación de Municipios de Honduras
 - Secretaría de Derechos Humanos, Justicia, Gobernación y Descentralización
 - Secretaría de Finanzas", ,Visión de País,"Objetivo 4 - Un Estado moderno, transparente, responsable, eficiente y competitivo",Meta 4.2: Haber alcanzado una descentralización de la inversión pública del 40% hacia el nivel municipal, ,Plan de Nación,"Democracia, Ciudadanía y Gobernabilidad",Número de mecanismos comunitarios donde ciudadanos y organizaciones comunitarias participan en procesos de Transparencia y Rendición de Cuentas sobre recursos utilizados en el cumplimiento de las metas del Plan de Nación, ,Políticas Públicas y Estrategias Nacionales,F) - Estrategia Nacional de Competitividad,Eje 3: Ambiente Macroeconómico,3.3 Financiamiento de Actividades Productivas,3.3.2 Crédito a las MIPYMES como porcentaje del crédito total.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1445455,720000,0,0,0,0,418545,1144000,0,0,725455,0,0,0,0,0,0,0,0,0,0,0,0,0,1864000,1864000,0,0,725455,0
  Mejorando la Confianza en las Políticas Públicas y las Instituciones Públicas en la república de Honduras [P125269],ATL ATL (atl@amp.org),20/03/2012, ,22/05/2014,BAMU033,,,TF-93440 [Fondo Social de Desarrollo Japones] (Banco Mundial),,Sector Privado,Ejecución,11/05/2010,11/05/2014,,11/05/2014,11/05/2014,27/10/2010, ,Country/National, , ,Fondo Social de Desarrollo Japones,27/10/2010,Japón,Bilateral,Trust Fund,TF-93440 [Fondo Social de Desarrollo Japones],Donación / No reembolsable,150 - GOBIERNO Y SOCIEDAD CIVIL, , ,4 - FORTALECIMIENTO INSTITUCIONAL,41 - Modernización del Estado, ,Banco Mundial,Federación de Organizaciones No Gubernamentales para el Desarrollo de Honduras,Federación de Organizaciones No Gubernamentales para el Desarrollo de Honduras,Visión de País,"Objetivo 1 - Una Honduras sin pobreza extrema, educada y sana, con sistemas consolidados de previsión social",Meta 1.1: Erradicar la pobreza extrema, ,Plan de Nación,"Democracia, Ciudadanía y Gobernabilidad", , ,Políticas Públicas y Estrategias Nacionales,F) - Estrategia Nacional de Competitividad,Eje 1: Institucionalidad,1.1 Corrupción,1.1.3 Calificación del cumplimiento de la LTAIP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,829110,0,0,0,0,0,0,55000,0,0,0,0,0,34611.05,0,0,0,0,0,86674.85,0,0,0,0,0,0,0,0,0,0,829110,176285.9,0,0,0,0
  Administración Fiscal [Programa de Gestión Pública],ATL ATL (atl@amp.org),20/03/2012, ,22/05/2014,BKFW014,,,25582 (Cooperación Alemana (KFW)), ,Sector Público,Suspendida,,,,,,, ,Country/National, , ,Gobierno de La República Federal de Alemania,01/01/2012,Alemania,Bilateral,Programa,25582,Crédito,150 - GOBIERNO Y SOCIEDAD CIVIL,"151 - Gobierno y Sociedad Civil, general", ,4 - FORTALECIMIENTO INSTITUCIONAL,41 - Modernización del Estado, ,Cooperación Alemana (KFW),Secretaría de Finanzas,Secretaría de Finanzas,Visión de País,"Objetivo 4 - Un Estado moderno, transparente, responsable, eficiente y competitivo",Meta 4.1: Mejorar la posición de Honduras en el índice de Competitividad Global a la posición 50, ,Plan de Nación,"Competitividad, Imagen País y Sectores Productivos",Calificación de Honduras en el Índice de Competitividad, ,Políticas Públicas y Estrategias Nacionales,F) - Estrategia Nacional de Competitividad,Eje 1: Institucionalidad,1.1 Corrupción,1.1.1 Indicador de Control de la corrupción,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13768983.99,540000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13768983.99,540000,0
  Gerencia y Coordinación [2010-2011],ATL ATL (atl@amp.org),20/03/2012, ,22/05/2014,OPSA001,, ,S/N (Organización Panamericana de la Salud),,Autoadministrado por Socio al Desarrollo,Finalizado,01/01/2010,31/12/2011,,,,01/01/2010, ,Country/National, , ,Organización Panamericana de la Salud,27/10/2010,Naciones Unidas,Multilateral,Asistencia Técnica, ,Donación / No reembolsable,120 - SALUD, , ,1 - PROMOCIÓN Y PROTECCIÓN HUMANA,11 - Salud, ,Organización Panamericana de la Salud,Organización Panamericana de la Salud, ,Visión de País,"Objetivo 1 - Una Honduras sin pobreza extrema, educada y sana, con sistemas consolidados de previsión social",Meta 1.4: Alcanzar 95% de cobertura de salud en todos los niveles del sistema, ,Plan de Nación,Salud como fundamento para la mejora de las condiciones de vida," - Incidencia de Casos de  Malaria/ Dengue
 - Tasa de Incidencia de casos de Enfermedades Infecciosas asociadas a Condiciones Materiales de Vida ( Diarrea-IRAS X 1000 hab) y TB x 100mil hab)
 - Tasa de Mortalidad en menores 5 años", ,Políticas Públicas y Estrategias Nacionales,F) - Estrategia Nacional de Competitividad,Eje 1: Institucionalidad,1.1 Corrupción,1.1.1 Indicador de Control de la corrupción,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1698458,780374,0,0,0,0,0,918084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1698458,1698458,0,0,0,0
  Adopción de Normas de Información Financiera y de Auditoría,ATL ATL (atl@amp.org),20/03/2012, ,22/05/2014,BAID104,,,ATN/MT-8802-HO (Banco Interamericano de Desarrollo),,Sector Privado,Finalizado,05/08/2004,25/03/2011,,,,25/08/2004, ,Country/National, , ,Banco Interamericano de Desarrollo,25/08/2004,Organismo Internacional,Multilateral,Asistencia Técnica, ,Donación / No reembolsable,240 - SERVICIOS BANCARIOS Y FINANCIEROS,24010 - Política financiera y gestión administrativa, ,4 - FORTALECIMIENTO INSTITUCIONAL,41 - Modernización del Estado, ,Banco Interamericano de Desarrollo,Colegio Hondureño de Profesionales Universitarios en Contaduría Pública, ,Visión de País,"Objetivo 4 - Un Estado moderno, transparente, responsable, eficiente y competitivo",Meta 4.1: Mejorar la posición de Honduras en el índice de Competitividad Global a la posición 50, ,Plan de Nación,"Competitividad, Imagen País y Sectores Productivos",Calificación de Honduras en el Índice de Competitividad, ,Políticas Públicas y Estrategias Nacionales,F) - Estrategia Nacional de Competitividad,Eje 1: Institucionalidad,1.1 Corrupción,1.1.4 Comportamiento ético de las empresas (puntuación en el WEF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,490000,490000,0,0,0,0
  Gobernando con Justicia: Un Gobierno más Responsable y Transparente,ATL ATL (atl@amp.org),20/03/2012, ,22/05/2014,AEUD002,, ,522-0434 (Agencia de los Estados Unidos para el Desarrollo Internacional), ,Sector Privado,Finalizado,17/09/2003,30/09/2012,,,,17/09/2003, ,Country/National, , ,Agencia de los Estados Unidos para el Desarrollo Internacional,17/09/2003,Estados Unidos,Bilateral,Proyecto,522-0434,Donación / No reembolsable,150 - GOBIERNO Y SOCIEDAD CIVIL,"151 - Gobierno y Sociedad Civil, general",15113 - Organizaciones de lucha contra la corrupción de las instituciones.,4 - FORTALECIMIENTO INSTITUCIONAL,41 - Modernización del Estado, ,Agencia de los Estados Unidos para el Desarrollo Internacional," - Asociación de Municipios de Honduras
 - Federación de Organizaciones No Gubernamentales para el Desarrollo de Honduras", ,Visión de País,"Objetivo 4 - Un Estado moderno, transparente, responsable, eficiente y competitivo",Meta 4.1: Mejorar la posición de Honduras en el índice de Competitividad Global a la posición 50, , , , , ,Políticas Públicas y Estrategias Nacionales,F) - Estrategia Nacional de Competitividad,Eje 1: Institucionalidad,1.1 Corrupción,1.1.1 Indicador de Control de la corrupción,0,3631145,0,0,0,0,0,3713220,0,0,0,0,0,3833918,0,0,0,0,0,3502732,0,0,0,0,0,631680,0,0,0,0,0,510060,0,0,322170,0,0,280190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22952800,22952800,0,29500000,322170,0
  MAPEP - Programa de Consolidación de la Gestión Fiscal y Municipal,ATL ATL (atl@amp.org),20/03/2012, ,22/05/2014,BAID069,,,1999/BL-HO (Banco Interamericano de Desarrollo),,Sector Público,Finalizado,09/07/2008,30/06/2010,,,,31/07/2008, ,Country/National, , ,Banco Interamericano de Desarrollo,31/07/2008,Organismo Internacional,Multilateral,Proyecto, ,Crédito,150 - GOBIERNO Y SOCIEDAD CIVIL,"151 - Gobierno y Sociedad Civil, general",15130 - Desarrollo legal y judicial,4 - FORTALECIMIENTO INSTITUCIONAL,41 - Modernización del Estado,COMPETITIVIDAD E INNOVACIÓN,Banco Interamericano de Desarrollo,Secretaría de Despacho Presidencial, ,Visión de País,"Objetivo 2 - Una Honduras que se desarrolla en democracia, con seguridad y sin violencia",Meta 2.1: Siete procesos electorales democráticos continuos y transparentes celebrados a partir de 2009, , , , , ,Políticas Públicas y Estrategias Nacionales,F) - Estrategia Nacional de Competitividad,Eje 1: Institucionalidad,1.1 Corrupción,1.1.1 Indicador de Control de la corrupción,0,0,0,0,0,0,0,0,0,0,0,0,1500000,1250000,0,0,0,0,0,0,0,0,0,0,0,244000,0,0,0,0,0,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500000,1500000,0,0,0,0
  Fortalecimiento de la Transparencia y Responsabilidad en Instituciones Públicas [P104397],ATL ATL (atl@amp.org),20/03/2012, ,22/05/2014,BAMU017,,,TF 58250 (Banco Mundial), ,Sector Público,Finalizado,19/04/2007,19/04/2011,,,,19/04/2007, ,Country/National, , ,Banco Mundial,19/04/2007,Organismo Internacional,Multilateral,Trust Fund,TF 58250,Donación / No reembolsable,150 - GOBIERNO Y SOCIEDAD CIVIL,"151 - Gobierno y Sociedad Civil, general",15110 - Política de administración y gestión del sector público,4 - FORTALECIMIENTO INSTITUCIONAL,41 - Modernización del Estado,COMPETITIVIDAD E INNOVACIÓN,Banco Mundial,Secretaría de Despacho Presidencial, ,Visión de País,"Objetivo 4 - Un Estado moderno, transparente, responsable, eficiente y competitivo",Meta 4.1: Mejorar la posición de Honduras en el índice de Competitividad Global a la posición 50, , , , , ,Políticas Públicas y Estrategias Nacionales,F) - Estrategia Nacional de Competitividad,Eje 1: Institucionalidad,1.1 Corrupción,1.1.1 Indicador de Control de la corrupción,0,0,0,0,0,0,339000,282217.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50500.47,0,0,0,0,0,6282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339000,339000,0,0,0,0
  Monitoreo y Evaluación de Acciones de Garantía,ATL ATL (atl@amp.org),20/03/2012, ,22/05/2014,UNIC013,, ,S/N (Fondo de las Naciones Unidas para la Infancia),,Sector Público,Finalizado,01/05/2010,01/12/2010,,01/12/2010,,01/05/2010, ,Country/National, , ,Fondo de las Naciones Unidas para la Infancia,01/01/2010,Naciones Unidas,Multilateral,Proyecto, ,Donación / No reembolsable,110 - EDUCACIÓN,"111 - Educación, nivel no especificado",11110 - Política educativa y gestión administrativa,1 - PROMOCIÓN Y PROTECCIÓN HUMANA,12 - Educación y Cultura," - COMPETITIVIDAD E INNOVACIÓN
 - NIÑEZ",Fondo de las Naciones Unidas para la Infancia,Fondo de las Naciones Unidas para la Infancia, ,Visión de País,"Objetivo 1 - Una Honduras sin pobreza extrema, educada y sana, con sistemas consolidados de previsión social",Meta 1.3: Elevar la escolaridad promedio a 9 años, ,Plan de Nación,Educación y Cultura como medios de emancipación social," - % Cobertura neta de Educación Básica en sus dos primeros ciclos
 - % Cobertura neta de Educación Básica en tercer ciclo
 - % Cobertura neta de Educación Media
 - % Cobertura neta de Educación Pre básica
 - % de cumplimiento del calendario escolar (200 días) en establecimientos educativos públicos", ,Políticas Públicas y Estrategias Nacionales,F) - Estrategia Nacional de Competitividad,Eje 1: Institucionalidad,1.1 Corrupción,1.1.1 Indicador de Control de la corrupción,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000,20000,0,0,0,0
  Mejoramiento de la Transparencia y Rendición de Cuentas de la Administración para la Administración de Derechos de Propiedad en Honduras [P115007],ATL ATL (atl@amp.org),20/03/2012, ,22/05/2014,BAMU018,000500001700,,TF 94255 (Banco Mundial),,Sector Público,Finalizado,18/05/2009,18/05/2012,,18/05/2012,,22/03/2010, ,Sub-national," - R01 - Valle de Sula
 - R02 - Valle de Comayagua
 - R04 - Valle de Lean
 - R05 - Valle de Aguán
 - R07 - Norte de olancho
 - R08 - Valles de Olancho
 - R09 - Biosfera Río Plátano
 - R12 - Región Centro
 - R13 - Golfo de Fonseca
 - R16 - Región de Santa Bárbara"," - Ajuterique
 - Alubaren
 - Apacilagua
 - Arizona
 - Balfate
 - Bonito Oriental
 - Cedros
 - Choloma
 - Comayagua
 - Concepción de Maria
 - Curarén
 - Distrito Central
 - Duyure
 - El Corpus
 - El Porvenir
 - El Rosario
 - El Triunfo
 - Esparta
 - Esquías
 - Guaimaca
 - Humuya
 - Iriona
 - Jutiapa
 - La Ceiba
 - La Libertad
 - La Lima
 - La Masica
 - La Trinidad
 - La Venta
 - Lamaní
 - Las Lajas
 - Lejamaní
 - Lepaterique
 - Limón
 - Maraita
 - Marale
 - Marcovia
 - Meámbar
 - Minas de Oro
 - Morolica
 - Namasigue
 - Nueva Armenia
 - Ojojona
 - Ojos de Agua
 - Omoa
 - Orica
 - Orocuina
 - Pespire
 - Pimienta
 - Potrerillos
 - Puerto Cortés
 - Reitoca
 - Sabanagrande
 - Sabá
 - San Antonio de Cortés
 - San Antonio de Flores [Choluteca]
 - San Antonio de Oriente
 - San Buenaventura
 - San Francisco
 - San Francisco de Yojoa
 - San Ignacio
 - San Isidro
 - San Jerónimo
 - San José
 - San José del Potrero
 - San Juan de Flores (Cantarranas)
 - San Luis
 - San Manuel
 - San Marcos de Colon
 - San Pedro Sula
 - San Sebastián
 - Santa Ana de Yusguare
 - Santa Fé
 - Siguatepeque
 - Sonaguera
 - Taulabé
 - Tela
 - Tocoa
 - Trujillo
 - Villa de San Antonio
 - Villanueva",Banco Mundial,22/03/2010,Organismo Internacional,Multilateral,Trust Fund,TF 94255,Donación / No reembolsable,400 - MULTISECTORIAL,430 - Otros multisectorial," - 43010 - Ayuda multisectorial
 - 43030 - Desarrollo y gestión urbanos",4 - FORTALECIMIENTO INSTITUCIONAL,43 - Defensa y Seguridad, ,Banco Mundial,Instituto de la Propiedad,Instituto de la Propiedad,Visión de País,"Objetivo 3 - Una Honduras productiva, generadora de oportunidades y empleo digno, que aprovecha de manera sostenible sus recursos y reduce la vulnerabilidad ambiental",Meta 3.6: Alcanzar 1 millón de hectáreas de tierras de vocación forestal en proceso de restauración ecológica y productiva accediendo al mercado internacional de bonos de carbono, ,Plan de Nación,Infraestructura Productiva como motor de la actividad económica,Número de hectáreas de tierras agrícolas con acceso a riego, ,Políticas Públicas y Estrategias Nacionales,F) - Estrategia Nacional de Competitividad,Eje 1: Institucionalidad,1.1 Corrupción,1.1.1 Indicador de Control de la corrupción,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400000,202964.539,0,0,0,0,0,197035.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400000,400000,0,0,0,0
  Programa EUROFOR - Programa de Apoyo Sectorial Forestal (PAPSFor),Lesly Sanchez [SRECI] (lesly.sanchez@sre.gob.hn),21/03/2013, ,23/05/2014,871711213753,,,S/N (Unión Europea),,Sector Público,Ejecución,08/10/2013,,,,08/10/2020,, ,Country/National, , ,Unión Europea,01/05/2013,Organismo Internacional,Multilateral,Apoyo presupuestario,S/N,Donación / No reembolsable,400 - MULTISECTORIAL,410 - Protección general del medio ambiente, ,3 - AGROFORESTAL Y TURISMO,32 - Recursos Forestal y Ambiente," - COMPETITIVIDAD E INNOVACIÓN
 - MEDIO AMBIENTE/ CAMBIO CLIMÁTICO",Unión Europea,"Secretaría de Estado en los Despachos de Energía, Recursos Naturales, Ambiente y Minas /Instituto Nacional de Conservación y Desarrollo Forestal","Secretaría de Estado en los Despachos de Energía, Recursos Naturales, Ambiente y Minas /Instituto Nacional de Conservación y Desarrollo Forestal",Visión de País,"Objetivo 3 - Una Honduras productiva, generadora de oportunidades y empleo digno, que aprovecha de manera sostenible sus recursos y reduce la vulnerabilidad ambiental",Meta 3.6: Alcanzar 1 millón de hectáreas de tierras de vocación forestal en proceso de restauración ecológica y productiva accediendo al mercado internacional de bonos de carbono, , , , , ,Políticas Públicas y Estrategias Nacionales,F) - Estrategia Nacional de Competitividad,Eje 2: Infraestructura,2.5 Sistema de Manejo de Riesgo,2.5.1 Número de municipios con PDM- OT registrados en el RENOT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35799358.37,0,0,0,0,0,0,0,0,0,0,0,35799358.37,0,0,0,0,0
  PAPSAC - Programa de Apoyo Presupuestario Sectorial Agua y Calidad,ATL ATL (atl@amp.org),20/03/2012, ,23/05/2014,UNEU019,,,DCI-ALA/2011/022-863 (Unión Europea),,Sector Público,Ejecución,08/06/2012,31/03/2016,,,21/03/2016,01/11/2012, ,Country/National, , ,Unión Europea,20/03/2012,Organismo Internacional,Multilateral,Apoyo presupuestario,DCI-ALA/2011/022-863,Donación / No reembolsable,400 - MULTISECTORIAL,430 - Otros multisectorial,43010 - Ayuda multisectorial,1 - PROMOCIÓN Y PROTECCIÓN HUMANA,15 - Agua y Saneamiento,COMPETITIVIDAD E INNOVACIÓN,Unión Europea,Secretaría de Despacho Presidencial," - Secretaría de Agricultura y Ganadería
 - Secretaría de Desarrollo Económico
 - Secretaría de Despacho Presidencial
 - Secretaría de Educación
 - Secretaría de Finanzas
 - Secretaría de Salud",Visión de País,"Objetivo 1 - Una Honduras sin pobreza extrema, educada y sana, con sistemas consolidados de previsión social",Meta 1.1: Erradicar la pobreza extrema, ,Plan de Nación,Educación y Cultura como medios de emancipación social,% Cobertura neta de Educación Básica en sus dos primeros ciclos, ,Políticas Públicas y Estrategias Nacionales,F) - Estrategia Nacional de Competitividad,Eje 4: Capital Humano,4.4 Agua Potable y Saneamiento Básico,4.4.2 Porcentaje de personas con acceso a un sistema de saneamiento adecuado.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57967422.58,19276577.58,0,0,19276577.58,0,0,0,0,0,0,0,0,0,0,0,0,0,57967422.58,19276577.58,0,0,19276577.58,0
  @prende Aulas Tecnológicas,ATL ATL (atl@amp.org),20/03/2012, ,23/05/2014,TAIW022,,,S/N (Gobierno de Taiwan),,Sector Público,Ejecución,22/08/2007,31/12/2011,,31/12/2009,,27/02/2007, ,Country/National, , ," - Gobierno de Taiwan
 - International Cooperation & Development Fund - EXIMBank China"," - 22/08/2007
 - 28/08/2007",China,Bilateral,Apoyo presupuestario, ," - Crédito
 - Donación / No reembolsable",110 - EDUCACIÓN,"111 - Educación, nivel no especificado",11120 - Servicios e instalaciones educativos y formación,1 - PROMOCIÓN Y PROTECCIÓN HUMANA,12 - Educación y Cultura, ,Gobierno de Taiwan,Secretaría de Coordinación General de Gobierno, ,Visión de País,"Objetivo 1 - Una Honduras sin pobreza extrema, educada y sana, con sistemas consolidados de previsión social",Meta 1.3: Elevar la escolaridad promedio a 9 años, , , , , ,Políticas Públicas y Estrategias Nacionales,F) - Estrategia Nacional de Competitividad,Eje 2: Infraestructura,2.3 Acceso al Internet,2.3.1 Porcentaje de la población con acceso a internet.,0,0,0,0,0,0,9000000,4000000,0,0,0,0,0,500000,0,0,0,0,0,0,0,0,0,0,0,1669362.27,0,0,0,0,0,1360925.93,0,0,419530.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9000000,7530288.199,0,0,419530.18,0
