Project Title,Municipality,Donor Agency,OECD/DAC Sector,Implementing Agency,Beneficiary Agency,2008 Actual Commitments,2008 Actual Disbursements,2009 Actual Commitments,2009 Actual Disbursements,2010 Actual Commitments,2010Actual Disbursements,Total Actual Commitments,Total Actual Disbursements
  School of Sports,Fushe Kosova,Embassy of Netherlands,160 - OTHER SOCIAL INFRASTRUCTURE AND SERVICES,Voice of Roma,Voice of Roma,0,0,0,0,7005,5604,7005,5604
  Support to the Kosovo Population and Housing Census 2011, ,Department for International Development,160 - OTHER SOCIAL INFRASTRUCTURE AND SERVICES, ,N/A Beneficiary Organization,0,0,0,0,1538443.534,0,1538443.534,0
  Reconstruction of Electricity Supply Network in Binçë / Bina_ - Phase II-III,Vitia,Embassy of the Czech Republic,230 - ENERGY GENERATION AND SUPPLY,Caritas Kosovo,Municipality of Vitia,0,0,0,0,41243.74,39570.794,41243.74,39570.794
  Regulation of the Ropotovo and Ranilug brooks' riverbeds,Ranilluk,Embassy of the Czech Republic,140 - WATER AND SANITATION,Municipality of Ranillug,Municipality of Ranillug,0,0,0,0,36555.17,35469.905,36555.17,35469.905
  Seeds of Change Festival," - Dragash
 - Junik
 - Lipjan
 - Malisheva
 - Partesh
 - Shterpce
 - Skenderaj",Embassy of Netherlands,160 - OTHER SOCIAL INFRASTRUCTURE AND SERVICES, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  Protection and Promotion Cultural Heritage 2011, ,Embassy of Netherlands,160 - OTHER SOCIAL INFRASTRUCTURE AND SERVICES,Ethnological Museum of Kosovo,Ethnological Museum of Kosovo,0,0,0,0,0,0,0,0
  Think Green - 'Loesje' Methodology for Critical Thinking and Writing, ,Embassy of Netherlands,400 - MULTISECTOR/CROSS-CUTTING, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  Premiere Concert of the Symphonic Orchestra, ,Embassy of Netherlands,160 - OTHER SOCIAL INFRASTRUCTURE AND SERVICES, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  Support to American University of Kosovo,Pristina,Norway,110 - EDUCATION,American University in Kosovo-Rochester Institute of Technology,American University in Kosovo-Rochester Institute of Technology,0,0,0,0,0,0,0,0
"  Think Local, Work Green",North Mitrovica,Embassy of Netherlands,400 - MULTISECTOR/CROSS-CUTTING, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  Friendly Fire,Pristina,Embassy of Netherlands,160 - OTHER SOCIAL INFRASTRUCTURE AND SERVICES, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  Healthy Life for Better Future,Zvecan,Embassy of Netherlands,120 - HEALTH, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  Kosovo Anti-Trafficking Program (KAP), ,United States Agency for International Development,150 - GOVERNMENT AND CIVIL SOCIETY,International Organization for Migration,N/A Beneficiary Organization,0,0,436680,436680,656111,656111,1092791,1092791
  Migration for Development in the Western Balkans (MIDWEB), ,European Union Office,400 - MULTISECTOR/CROSS-CUTTING,International Organization for Migration," - Ministry of Internal Affairs
 - Ministry of Labor and Social Walfare",0,0,0,0,0,0,0,0
  Assisted Voluntary Return for Western Balkans (including Return Information Fund), ,Swiss Federal Office for Migration,400 - MULTISECTOR/CROSS-CUTTING,International Organization for Migration," - Ministry of Foreign Affairs
 - Ministry of Internal Affairs
 - Ministry of Labor and Social Walfare",0,0,134936,134936,178295,178295,313231,313231
  Return and Reintegration Assistance for Voluntary Returnees to Kosovo from Austria, ,Austria,400 - MULTISECTOR/CROSS-CUTTING,International Organization for Migration," - Ministry of Foreign Affairs
 - Ministry of Internal Affairs
 - Ministry of Labor and Social Walfare",0,0,831282.47,872003.563,798270.506,746226.345,1629552.977,1618229.909
  Restoration of the St Saviour Church in Prizren,Prizren,"United Nations Educational, Scientific and Cultural Organization",323 - CONSTRUCTION,"United Nations Educational, Scientific and Cultural Organization",Ministry of Culture Youth and Sports,0,0,0,0,240000,240000,240000,240000
  Sustainable Partnerships for Assistance to Returns in Kosovo, ," - Embassy of the Czech Republic
 - Ministry for Community and Return
 - Norway
 - United Kingdom of Great Britain and Northern Ireland"," - 700 - HUMANITARIAN AID
 - 930 - REFUGEES IN DONOR COUNTRIES",United Nations Development Programme,Ministry for Community and Return,0,0,0,0,548400,548400,548400,548400
  PROJECT 121, ,Swiss Agency for Development and Cooperation,150 - GOVERNMENT AND CIVIL SOCIETY, ,N/A Beneficiary Organization,0,0,10000,0,0,10000,10000,10000
  Improving the Delivery of RAE Education in the Municipality of Fushë Kosovë/Kosovo Polje,Fushe Kosova,United Nations Children's Fund,110 - EDUCATION," - The European Centre for Minority Issues in Kosovo
 - United Nations Children's Fund",Municipality of Fushe Kosova,0,0,0,0,0,0,0,0
  New Kosovo Curriculum Framework, ," - Embassy of Netherlands
 - United Nations Children's Fund",110 - EDUCATION," - Ministry of Education, Science and Technology
 - United Nations Children's Fund","Ministry of Education, Science and Technology",0,0,0,0,0,0,0,0
  Child Friendly Schools - Inclusive Education," - Ferizaj
 - Fushe Kosova
 - Obiliq",Embassy of Netherlands,110 - EDUCATION," - TEMA Trainers of Active Teaching
 - United Nations Children's Fund"," - Ministry of Education, Science and Technology
 - Municipality of Ferizaj
 - Municipality of Fushe Kosova
 - Municipality of Obiliq",0,0,0,0,0,0,0,0
"  Empowering Roma, Askali and Egyptian Communities in Fushë Kosova",Fushe Kosova,United Nations Children's Fund,110 - EDUCATION," - Balkan Sunflowers Kosova
 - United Nations Children's Fund"," - Ministry of Education, Science and Technology
 - Municipality of Fushe Kosova",0,0,0,0,0,0,0,0
"  Mental health status, development and psychosocial needs of repatriated children in Kosovo", ,United Nations Children's Fund,120 - HEALTH," - Kosova Health Foundation
 - United Nations Children's Fund",N/A Beneficiary Organization,0,0,0,0,0,0,0,0
"  Support initiative of Child dispensary Mitrovica North to establish and make operational mother and child counselling centre (equipment, trainings, networking of health workers rural/urban",North Mitrovica,United Nations Children's Fund,120 - HEALTH, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  Support creation of Peer Education network to address Substance abuse and other Youth issues on peer to peer level," - Leposaviq
 - North Mitrovica
 - Zubin Potok
 - Zvecan",United Nations Children's Fund,130 - POPULATION POLICIES/PROGRAMMES AND REPRODUCTIVE HEALTH, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  Mother and Child Health & Nutrition, ,United Nations Children's Fund,120 - HEALTH,United Nations Children's Fund,N/A Beneficiary Organization,0,0,0,0,24201,24201,24201,24201
  Improve Maternal and Child Health and Nutrition Situation, ,United States Agency for International Development,120 - HEALTH," - Kosova Health Foundation
 - United Nations Children's Fund",N/A Beneficiary Organization,0,0,0,0,42762,42762,42762,42762
  Kosovo-Secondments of Norwegian Police 2011, ,Norway,150 - GOVERNMENT AND CIVIL SOCIETY, ,European Union Rule of Law Mission in Kosovo,0,0,0,0,0,0,0,0
  E-government in Kosovo (pilot project), ,Norway,150 - GOVERNMENT AND CIVIL SOCIETY,Association of Municipalities in Kosovo,Association of Municipalities in Kosovo,0,0,0,0,77234.528,77234.528,77234.528,77234.528
  Kosovo ICT Innovation HUB - Concept Study, ,Norway,250 - BUSINESS AND OTHER SERVICES, ,N/A Beneficiary Organization,0,0,0,0,44239.085,44239.085,44239.085,44239.085
  VET Equipment and Furniture for schools in Malishevo and Skenderaj," - Malisheva
 - Skenderaj",Norway,110 - EDUCATION,International Management Group,N/A Beneficiary Organization,0,0,0,0,1482902.941,1482902.941,1482902.941,1482902.941
  Kosovo Property Agency- Secondments 2010-2011, ,Norway,150 - GOVERNMENT AND CIVIL SOCIETY, ,N/A Beneficiary Organization,0,0,0,0,324493.623,324493.623,324493.623,324493.623
  Support to the International Civilian Office 2010, ,Norway,150 - GOVERNMENT AND CIVIL SOCIETY,International Civilian Office,International Civilian Office,0,0,0,0,169525.917,169525.917,169525.917,169525.917
  Kosovo Judicial Council (KJC)/ Independent Judicial and Prosecutorial Commission, ,Norway,150 - GOVERNMENT AND CIVIL SOCIETY,Kosovo Judicial Council,N/A Beneficiary Organization,0,0,0,0,188833.354,188833.354,188833.354,188833.354
  Teachers' Education- Vocational Education," - Malisheva
 - Skenderaj",Norway,110 - EDUCATION,Akershus University College,N/A Beneficiary Organization,0,0,192995.092,192995.092,342558.409,342558.409,535553.501,535553.501
  Support to HiAK (Høyskolen i Akershus) for training of teachers and materials," - Malisheva
 - Skenderaj",Norway,110 - EDUCATION, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  Support to Coordination in Rule of Law, ,Department for International Development,150 - GOVERNMENT AND CIVIL SOCIETY, ,N/A Beneficiary Organization,0,0,2248464.513,94489.916,0,1413197.266,2248464.513,1507687.182
  Support to the Constitutional Court, ,Department for International Development,150 - GOVERNMENT AND CIVIL SOCIETY,East-West Management Institute,N/A Beneficiary Organization,0,0,0,278396.468,0,280863.577,0,559260.045
  Support to Private Sector Development, ,Department for International Development,250 - BUSINESS AND OTHER SERVICES, ,N/A Beneficiary Organization,0,0,0,0,461795.509,258801.532,461795.509,258801.532
  Functional Reviews and Institutional Design of Ministries in Kosovo, ,Department for International Development,150 - GOVERNMENT AND CIVIL SOCIETY,Tribal Helm Corporation LTD," - Ministry of Health
 - Ministry of Internal Affairs
 - Ministry of Public Administration",0,1408872.643,0,1434720.976,0,1230337.327,0,4073930.947
  Support to establishment of mechanisms for coordination between policy and Budget processes," - Mamusha
 - Podujeva
 - Pristina
 - Shterpce
 - Vushtrria",Department for International Development,150 - GOVERNMENT AND CIVIL SOCIETY, ,N/A Beneficiary Organization,0,0,0,0,389370.219,11670.238,389370.219,11670.238
  Kosovo Tax Gap Analyses, ,Department for International Development,150 - GOVERNMENT AND CIVIL SOCIETY, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  Support to International Civilian Office (ICO) - Kosovo, ,Norway,150 - GOVERNMENT AND CIVIL SOCIETY,International Civilian Office,International Civilian Office,0,0,0,0,0,0,0,0
  KOSOVO JUDICIAL COUNCIL - ICT STRATEGY, ,Norway,150 - GOVERNMENT AND CIVIL SOCIETY,Kosovo Judicial Council,Kosovo Judicial Council,0,0,0,0,0,0,0,0
  KOSOVO MODEL COURTS PROJECT - KJC/USAID, ,Norway,150 - GOVERNMENT AND CIVIL SOCIETY,United States Agency for International Development,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  Kosovo Property Agency - Temporary financing, ,Norway,150 - GOVERNMENT AND CIVIL SOCIETY,Kosovo Property Agency,Kosovo Property Agency,0,0,0,0,0,0,0,0
  Support to EU Partnership and Standards Process, ,Department for International Development,140 - WATER AND SANITATION, ,N/A Beneficiary Organization,0,766735.126,0,750703.09,0,0,0,1517438.216
  Developing Strategy for Future, ,Department for International Development,150 - GOVERNMENT AND CIVIL SOCIETY, ,N/A Beneficiary Organization,100895.355,97177.222,0,0,0,0,100895.355,97177.222
  EC&Social Inclussion in Kosovo, ,Department for International Development,150 - GOVERNMENT AND CIVIL SOCIETY, ,N/A Beneficiary Organization,20179.071,13202.388,0,0,0,0,20179.071,13202.388
  UPPORT TO PUBLIC ADMINISTRATION REFORM PROCESS KOSOVO, ,Department for International Development,150 - GOVERNMENT AND CIVIL SOCIETY, ,N/A Beneficiary Organization,0,38040.761,0,0,0,0,0,38040.761
  SUPPORTING THE ESTABLISHMENT OF KOSOVO’S MINISTRIES OF JUSTICE AND INTERNAL AFFAIRS, ,Department for International Development,150 - GOVERNMENT AND CIVIL SOCIETY, ,N/A Beneficiary Organization,0,378007.963,0,0,0,0,0,378007.963
  LOCAL DEVELOPMENT FOR COMMUNITY STABILISATION IN MITROVICA AND ZVEÇAN-AREA BASED DEVELOPMENT PROGRAMME, ,Department for International Development,150 - GOVERNMENT AND CIVIL SOCIETY, ,N/A Beneficiary Organization,0,888662.319,0,0,0,0,0,888662.319
  PERMANENT INSTITUTIONALISATION OF THE KOSOVO COMMUNITY CONSULTATIVE COUNCIL, ,Department for International Development,150 - GOVERNMENT AND CIVIL SOCIETY, ,N/A Beneficiary Organization,0,258348.912,0,0,0,0,0,258348.912
  SMALL SCALE PROJECTS, ,Department for International Development,150 - GOVERNMENT AND CIVIL SOCIETY, ,N/A Beneficiary Organization,0,37560.357,0,0,0,0,0,37560.357
  Support to Office of Prime Minister - phase 2, ,Department for International Development,150 - GOVERNMENT AND CIVIL SOCIETY, ,N/A Beneficiary Organization,0,0,2979542.403,560863.096,0,819018.94,2979542.403,1379882.037
  Multi Donot Trust Fund Design, ,Department for International Development,160 - OTHER SOCIAL INFRASTRUCTURE AND SERVICES, ,N/A Beneficiary Organization,0,0,122237.637,117796.071,0,0,122237.637,117796.071
  Civil Society Project Design, ,Department for International Development,150 - GOVERNMENT AND CIVIL SOCIETY, ,N/A Beneficiary Organization,0,0,0,0,44980.11,36953.184,44980.11,36953.184
  Support to Commission for Oversight of Public Finance, ,Department for International Development,150 - GOVERNMENT AND CIVIL SOCIETY, ,N/A Beneficiary Organization,0,0,0,0,171933.437,5764.158,171933.437,5764.158
"  DFID support to civil society platform for general election, December 2010", ,Department for International Development,150 - GOVERNMENT AND CIVIL SOCIETY, ,N/A Beneficiary Organization,0,0,0,0,40157.061,374453.545,40157.061,374453.545
  The political economy of corruption and accountability in Kosovo, ,Department for International Development,150 - GOVERNMENT AND CIVIL SOCIETY, ,N/A Beneficiary Organization,0,0,0,0,72663.435,52432.108,72663.435,52432.108
"  Labour Force Survey of Kosovo, 2012", ,Department for International Development,160 - OTHER SOCIAL INFRASTRUCTURE AND SERVICES, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  Kosovo – Election Reform Response Fund, ,Department for International Development,150 - GOVERNMENT AND CIVIL SOCIETY, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  Public Relations for President of Kosovo, ,United Kingdom of Great Britain and Northern Ireland,150 - GOVERNMENT AND CIVIL SOCIETY, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  IFS - RRM 2007 - Support to the establishment and functioning of the International Civilian Office (ICO) in Kosovo, ,European Union Office,150 - GOVERNMENT AND CIVIL SOCIETY,International Civilian Office,N/A Beneficiary Organization,15464308.25,9478800,0,5300418.942,0,0,15464308.25,14779218.94
  Kosovision Contest Phase II, ,Swiss Agency for Development and Cooperation,110 - EDUCATION," - Kosovo Education Centre
 - Zurich University of Teacher Education","Ministry of Education, Science and Technology",99772.641,83888.043,340973.416,336455.031,127768.744,134549.854,568514.801,554892.929
  Support to Kosovo Statistics, ,Department for International Development,160 - OTHER SOCIAL INFRASTRUCTURE AND SERVICES, ,N/A Beneficiary Organization,201790.71,202016.082,0,0,0,0,201790.71,202016.082
  SUPPORT TO THE OFFICE OF THE PRIME MINISTER, ,Department for International Development,150 - GOVERNMENT AND CIVIL SOCIETY, ,Office of the Prime Minister,0,753545.455,0,0,0,0,0,753545.455
  Governance Results Fund, ,Department for International Development,150 - GOVERNMENT AND CIVIL SOCIETY, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  Support in Implementing a Forest Sector Development Programme in Kosovo, ,Food and Agriculture Organization,312 - FORESTRY,Food and Agriculture Organization,"Ministry for Agriculture, Forestry and Rural Development",0,0,76428,76428,0,0,76428,76428
  Support to capacity building for agriculture and rural development policy analysis and formulation to support EU integration of the Southeastern European countries, ,Food and Agriculture Organization,311 - AGRICULTURE,Food and Agriculture Organization,"Ministry for Agriculture, Forestry and Rural Development",0,0,66915,66915,0,0,66915,66915
  BUSINESS ENVIRONMENT TA PROJECT, ,World Bank,250 - BUSINESS AND OTHER SERVICES, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  Expanding Tuberculosis Prevention and Treatment Activities in Kosovo, ,The Global Fund,120 - HEALTH,Ministry of Health,Ministry of Health,0,719943.669,0,513709.42,0,627859.871,0,1861512.961
  Project Initiation ABD," - Mitrovica
 - Zvecan",Japanese Ministry of Foreign Affairs,250 - BUSINESS AND OTHER SERVICES,United Nations Development Programme,N/A Beneficiary Organization,0,0,0,0,23000,23000,23000,23000
"  Reconstruction of Prizren Konak, Visoki Decani",Decan,Norway,160 - OTHER SOCIAL INFRASTRUCTURE AND SERVICES,Visoki Decani Monastery,Visoki Decani Monastery,0,0,0,0,1299357.59,1344888.225,1299357.59,1344888.225
  Kosovo Secondment to ICO, ,Norway,150 - GOVERNMENT AND CIVIL SOCIETY, ,International Civilian Office,0,0,109370.445,109370.445,134549.19,134549.19,243919.635,243919.635
  UN Interim Administration Mission in Kosovo - UNMIK, ,Norway,150 - GOVERNMENT AND CIVIL SOCIETY, ,N/A Beneficiary Organization,0,0,784916.508,784916.508,1757388.438,1757388.438,2542304.947,2542304.947
  Preliminary Study- Business Development Measures, ,Norway,250 - BUSINESS AND OTHER SERVICES, ,N/A Beneficiary Organization,0,0,0,0,49937.312,49937.312,49937.312,49937.312
  Participation in Curriculum Groups," - Malisheva
 - Skenderaj",Norway,110 - EDUCATION, ,N/A Beneficiary Organization,0,0,0,0,43904.04,43904.04,43904.04,43904.04
  Cooperative Development - Kosovo, ,Norway,311 - AGRICULTURE, ,N/A Beneficiary Organization,311796.183,311796.183,246677.927,246677.927,228136.81,228136.81,786610.92,786610.92
  NATO Civil-Military Advisory Team, ,Norway,150 - GOVERNMENT AND CIVIL SOCIETY,Norwegian Ministry of Defense,North Atlantic Treaty Organization,72539.438,72539.438,259463.179,259463.179,249754.439,249754.439,581757.057,581757.057
  Multicultural Preschool Education, ,Norway,110 - EDUCATION,Save the Children,N/A Beneficiary Organization,244896.369,244896.369,270204.073,270204.073,236496.296,236496.296,751596.739,751596.739
  Kosovo- Secondment to EULEX, ,Norway,150 - GOVERNMENT AND CIVIL SOCIETY, ,European Union Rule of Law Mission in Kosovo,0,0,177342.33,177342.33,0,0,177342.33,177342.33
  Kosovo Secondment to KPA, ,Norway,150 - GOVERNMENT AND CIVIL SOCIETY, ,Kosovo Property Agency,0,0,332466.99,332466.99,0,0,332466.99,332466.99
  Secondment of Police Officers to EULEX, ,Norway,150 - GOVERNMENT AND CIVIL SOCIETY, ,European Union Rule of Law Mission in Kosovo,0,0,1349398.648,1349398.648,0,0,1349398.648,1349398.648
  Capacity Building of local Red Cross units, ,Norway,700 - HUMANITARIAN AID, ,N/A Beneficiary Organization,145383.239,145383.239,0,0,0,0,145383.239,145383.239
  UNMIK Police - EUPT - EULEX, ,Norway,150 - GOVERNMENT AND CIVIL SOCIETY,Norwegian Police,N/A Beneficiary Organization,1647773.634,1647773.634,0,0,0,0,1647773.634,1647773.634
  Gimlekollen - Kosovo Instutute for Journalism and Communication, ,Norway,110 - EDUCATION,Gimlekollen School of Journalism and Communication,N/A Beneficiary Organization,927848.741,927848.741,0,0,0,0,927848.741,927848.741
  Gimlekollen - Kosovo Institute for Journalism and Communicaton, ,Norway,110 - EDUCATION,Gimlekollen School of Journalism and Communication,N/A Beneficiary Organization,654642.561,654642.561,0,0,0,0,654642.561,654642.561
  Support to Serbian Enclaves in Western Kosovo - Phase III,Decan,Norway,311 - AGRICULTURE,Visoki Decani Monastery,N/A Beneficiary Organization,418227.024,418227.024,0,0,0,0,418227.024,418227.024
  Kosovo - secondment of personelle to KPA, ,Norway,150 - GOVERNMENT AND CIVIL SOCIETY, ,Kosovo Property Agency,465831.508,421839.079,0,0,0,0,465831.508,421839.079
  Trust Fund in Support of Kosovo Protection Corps Stand-Down, ,Norway,150 - GOVERNMENT AND CIVIL SOCIETY,United Nations Development Programme,N/A Beneficiary Organization,581532.957,581532.957,706463.878,706463.878,630323.255,630323.255,1918320.09,1918320.09
  Support to Serbian Enclaves Phase IV,Decan,Norway,311 - AGRICULTURE,Visoki Decani Monastery,N/A Beneficiary Organization,0,0,545529.874,545529.874,491211.599,491211.599,1036741.473,1036741.473
  Scholarship Programme-Kosovo, ,Norway,110 - EDUCATION, ,N/A Beneficiary Organization,0,0,34113.858,34113.858,21843.829,21843.829,55957.687,55957.687
  Vocational Education," - Malisheva
 - Skenderaj",Norway,110 - EDUCATION,International Management Group,N/A Beneficiary Organization,3489197.743,3489197.743,5960062.172,5960062.172,3684395.799,3684395.799,13133655.72,13133655.72
  Support to the International Civilian Office, ,Norway,150 - GOVERNMENT AND CIVIL SOCIETY,International Civilian Office,N/A Beneficiary Organization,617878.767,617878.767,0,0,0,0,617878.767,617878.767
  Kosovo Institute of Journalism and Communication, ,Norway,110 - EDUCATION,Gimlekollen School of Journalism and Communication,N/A Beneficiary Organization,0,0,1094299.64,1094299.64,1194661.279,1194661.279,2288960.92,2288960.92
  Secondment to EULEX, ,Norway,150 - GOVERNMENT AND CIVIL SOCIETY, ,European Union Rule of Law Mission in Kosovo,335682.775,335682.775,0,0,0,0,335682.775,335682.775
  Translation of books for university level education, ,Norway,110 - EDUCATION,Venstres Opplysningsforbund,N/A Beneficiary Organization,0,0,173845.337,173845.337,0,0,173845.337,173845.337
  KCA Steering Committee Participation, ,Norway,150 - GOVERNMENT AND CIVIL SOCIETY,Statens Kartverk,N/A Beneficiary Organization,36345.809,36345.809,0,0,0,0,36345.809,36345.809
  Kosovo. Water Polluters Cadstre, ,Norway,140 - WATER AND SANITATION,Regional Environmental Center for Central and Eastern Europe,N/A Beneficiary Organization,69875.837,69875.837,86743.367,86743.367,0,0,156619.204,156619.204
  Gimlekollen - Kosovo Institute for Journalism and Communication II, ,Norway,110 - EDUCATION,Gimlekollen School of Journalism and Communication,N/A Beneficiary Organization,290766.478,290766.478,0,0,0,0,290766.478,290766.478
  NATO Civil - Military Advisory Team, ,Norway,150 - GOVERNMENT AND CIVIL SOCIETY,Norwegian Ministry of Defense,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  Kosovo- Secondment to KPA, ,Norway,150 - GOVERNMENT AND CIVIL SOCIETY,Kosovo Property Agency,Kosovo Property Agency,0,0,0,0,164104.997,164104.997,164104.997,164104.997
  ENEMO/MOST International Election Observation Mission 2010, ,Norway,150 - GOVERNMENT AND CIVIL SOCIETY,European Network of Election Monitoring Organizations,N/A Beneficiary Organization,0,0,0,0,96948.409,96948.409,96948.409,96948.409
  Kosovo- Norwegian Police Directorate, ,Norway,150 - GOVERNMENT AND CIVIL SOCIETY, ,European Union Rule of Law Mission in Kosovo,0,0,0,0,1479078.488,1479078.488,1479078.488,1479078.488
  Kosovo- Secondment of Election Observation Mission, ,Norway,150 - GOVERNMENT AND CIVIL SOCIETY, ,European Network of Election Monitoring Organizations,0,0,0,0,42895.486,42895.486,42895.486,42895.486
  Kosovo Secondment of Criminal Judge, ,Norway,150 - GOVERNMENT AND CIVIL SOCIETY, ,European Union Rule of Law Mission in Kosovo,0,0,184659.22,0,53239.43,234332.999,237898.65,234332.999
"  Disaster Management, Health ad Care, Organizational Development", ,Norway,700 - HUMANITARIAN AID,• International Federation of Red Cross and Red Crescent Societies,N/A Beneficiary Organization,0,0,196260.419,191799.955,0,0,196260.419,191799.955
"  IPA 2008 - Development of Quality Assurance, Accreditation and Development of NQA & NQF in Kosovo.", ,European Union Office,110 - EDUCATION,PEM GMBH,"Ministry of Education, Science and Technology",0,0,0,549461.36,2345416.6,861837.329,2345416.6,1411298.689
  IFS - RRM Interim Response Programme under the Instrument for Stability for a Programme to support the continuing functioning of the International Civilian Office (ICO) in Kosovo - Package ICO II, ,European Union Office,150 - GOVERNMENT AND CIVIL SOCIETY,International Civilian Office,N/A Beneficiary Organization,0,0,13781000,13091950,0,0,13781000,13091950
  EIDHR 2007 - Preventing torture and other forms of human rights violations in places of detention in Kosovo, ,European Union Office,150 - GOVERNMENT AND CIVIL SOCIETY,Kosova Rehabilitation Centre for Torture Victims,Civil Society,98888.4,85219.68,0,0,0,20598.24,98888.4,105817.92
  EIDHR 2008 - Research and Monitoring of the Implementation of the Law on Gender Equality, ,European Union Office,150 - GOVERNMENT AND CIVIL SOCIETY,Shoqata e Juristeve Norma,N/A Beneficiary Organization,0,0,144773.32,112261.449,0,0,144773.32,112261.449
  IPA 2009 - European Union Election Expert Mission to Kosovo, ,European Union Office,150 - GOVERNMENT AND CIVIL SOCIETY,SOFRECO - Societe Francaise de Realisation d'Etudes et de Conseil SA,N/A Beneficiary Organization,0,0,0,0,223818.26,130773.617,223818.26,130773.617
  IPA 2009 - Technical assistance to finalise the investment feasibility study for a multi-purpose facility in Mitrovica (IPA 2009),Mitrovica,European Union Office,250 - BUSINESS AND OTHER SERVICES,HTSPE Limited,N/A Beneficiary Organization,0,0,0,0,52626.958,31755.824,52626.958,31755.824
"  Screening and Promoting Kosovo’s Visa-Liberalisation Dialogue and Progress, and Informing the Public on it", ,Embassy of Netherlands,150 - GOVERNMENT AND CIVIL SOCIETY, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  IPA 2011 - Support for the continued functioning of the International Civilian Office (ICO) in Kosovo, ,European Union Office,150 - GOVERNMENT AND CIVIL SOCIETY,International Civilian Office,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  IPA 2010 - Support for the continued functioned of the International Civilian Office in Kosovo, ,European Union Office,150 - GOVERNMENT AND CIVIL SOCIETY,International Civilian Office,International Civilian Office,0,0,0,0,4239550,4244030,4239550,4244030
  IPA 2008 - Operational support to the Regional Development Agency - RDA Centre (Pristina), ,European Union Office,400 - MULTISECTOR/CROSS-CUTTING,Agjencia per Zhvillimrajonal,Municipality of Prishtina,0,0,206715,165372,0,2150.619,206715,167522.619
  IPA 2008 - Operational support to the Regional Development Agency - RDA South (Prizren),Prizren,European Union Office,400 - MULTISECTOR/CROSS-CUTTING,Agjencia per Zhvillimrajonal,Municipality of Prizren,0,0,206715,165372,0,23091.642,206715,188463.642
  IPA 2007 - EU Scholarships in Civil Service, ,European Union Office,150 - GOVERNMENT AND CIVIL SOCIETY,SOFRECO - Societe Francaise de Realisation d'Etudes et de Conseil SA,Ministry of European Integration,1417800,610470,0,534306.973,0,154110.165,1417800,1298887.139
  IPA 2007 - EU-AC (Support to Anti-Corruption Institutions in Kosovo), ,European Union Office,150 - GOVERNMENT AND CIVIL SOCIETY,Rambøll Management Consulting,Ministry of Local Government and Administration,1352882.916,272391.596,0,142062.693,0,486502.621,1352882.916,900956.912
  IPA 2007 - Assistance to the Ministry of Energy and Mining (MEM), ,European Union Office,230 - ENERGY GENERATION AND SUPPLY,Eptisa,Ministry of Economic Development,1266532.2,272866.86,0,241139.78,0,562661.5,1266532.2,1076668.14
  IPA 2007 - KS 07 IB AG 01 - Meeting EU Standards on Food Safety and Veterinary Services, ,European Union Office,311 - AGRICULTURE,Bundesrepublik Deutschland,"Ministry for Agriculture, Forestry and Rural Development",2579890.607,0,0,1770243.247,0,660797.64,2579890.607,2431040.887
"  IPA 2007 - Construction of Sports Fields and Playgrounds at Pristina, Mitrovica, Peja and Prizren"," - Mitrovica
 - Peja
 - Pristina
 - Prizren",European Union Office,160 - OTHER SOCIAL INFRASTRUCTURE AND SERVICES,RAFII,Ministry of Local Government and Administration,0,0,1283932.82,128392.996,0,998682.28,1283932.82,1127075.276
  IPA 2007 - Extension of Feasibility Study for High Security Prison, ,European Union Office,150 - GOVERNMENT AND CIVIL SOCIETY,ILF Beratende Ingenieure ZT GMBH,Ministry of Justice,0,0,76944.602,0,0,66851.852,76944.602,66851.852
  IPA 2008 - TA for preparation of investment feasibility study on Pallati i Rinise,Pristina,European Union Office,160 - OTHER SOCIAL INFRASTRUCTURE AND SERVICES,Fineurop SPA,Municipality of Prishtina,0,0,0,0,13500.649,13783.621,13500.649,13783.621
  IPA 2009 - IT Pilot Project in the field of Education - LOT 1, ,European Union Office,110 - EDUCATION,CACTTUS sh.a,"Ministry of Education, Science and Technology",0,0,0,0,0,0,0,0
