Project Title,AMP ID,Cris Number,Modalities,Objective,Project Description,Status,Donor Agency,Donor Group,Donor Type,Financing Instrument,Funding Classification Date,Funding Status,Type Of Assistance,Actors,Issues,Measures Taken,Primary Sector,Primary Sector Sub-Sector,Secondary Sector,Secondary Sector Sub-Sector,Responsible Organization,Executing Agency,National Planning Objectives,National Planning Objectives Level 1,National Planning Objectives Level 2,National Planning Objectives Level 3,National Planning Objectives Level 4,National Planning Objectives Level 5,National Planning Objectives Level 6,National Planning Objectives Level 7,National Planning Objectives Level 8,Primary Program,Primary Program Level 1,Primary Program Level 2,Primary Program Level 3,Description,Secondary Program,Secondary Program Level 1,Secondary Program Level 8,Financial Instrument,FY,Ministry Code,On/Off/Treasury Budget,Project Code,Donor Observations,Line Ministries Observations,Actual Approval Date,Actual Closed Date,Actual Start Date,Proposed Completion Date,Proposed Project Life,Proposed Start Date,Departement,Implementation Level,District,Region,Proposed Project Amount,2011 Planned Commitments,2011 Actual Commitments,2011 Actual Disbursements,2011 Planned Disbursements,2011 Planned Expenditures,2011 Actual Expenditures,2012 Planned Commitments,2012 Actual Commitments,2012 Actual Disbursements,2012 Planned Disbursements,2012 Planned Expenditures,2012 Actual Expenditures,2013 Planned Commitments,2013 Actual Commitments,2013 Actual Disbursements,2013 Planned Disbursements,2013 Planned Expenditures,2013 Actual Expenditures,2014 Planned Commitments,2014 Actual Commitments,2014 Actual Disbursements,2014 Planned Disbursements,2014 Planned Expenditures,2014 Actual Expenditures,Planned Commitments,Actual Commitments,Actual Disbursements,Planned Disbursements,Planned Expenditures,Actual Expenditures
"  equipement du centre d´accueil d´alphabetisation, d´insertion et de reinsertion d'enfants a risque (enfant de la rue) a Bouake",112007134691,,Totally acquired,"Ameliorer le cadre de vie des enfants en difficultes de Bouake (Orphelins, enfants de la rue, enfants en conflit avec la loi)", ,Closed,Operation des Nations Unies en Cote d'Ivoire,Systeme des Nations Unies,Multilateral,Don projet,13/05/2014,Closed,Don financier, , , ,09 - ENSEIGNEMENT,095 - Enseignement non defini par niveau,100 - INFRASTRUCTURE ET SERVICES SOCIAUX,112 - EDUCATION DE BASE,Ministere de l'Education Nationale et de l'Enseignement Technique, ,"RESULTAT3 : LES POPULATIONS, EN PARTICULIER LES FEMMES, LES ENFANTS ET AUTRES GROUPES VULNERABLES ONT ACCES AUX SERVICES SOCIAUX DE QUALITE DANS L’EQUIT","RESULTAT3 : LES POPULATIONS, EN PARTICULIER LES FEMMES, LES ENFANTS ET AUTRES GROUPES VULNERABLES ONT ACCES AUX SERVICES SOCIAUX DE QUALITE DANS L’EQUIT","Education Nationale /Alphabetisation, valeurs culturelles et civisme", , , , , , , , , , , , , , , ,,,Off Budget, , , ,13/05/2014,,,,,23/07/2014,BOUAKE,Sous-Prefecture Level,GBEKE,BOUAKE, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15479.899,14453.154,15479.899,0,0,0,15479.899,14453.154,15479.899,0,0
  Rehabilitation de l´ecole primaire publique d´Adattie,112007134627,,Totally acquired,Permettre aux eleves d´avoir un cadre d´etude approprie, ,Closed,Operation des Nations Unies en Cote d'Ivoire,Systeme des Nations Unies,Multilateral,Don projet,28/02/2014,Closed,Don nature, , , ,09 - ENSEIGNEMENT,091 - Enseignements preelementaire et primaire,100 - INFRASTRUCTURE ET SERVICES SOCIAUX,112 - EDUCATION DE BASE,Ministere de l'Education Nationale et de l'Enseignement Technique, ,"RESULTAT3 : LES POPULATIONS, EN PARTICULIER LES FEMMES, LES ENFANTS ET AUTRES GROUPES VULNERABLES ONT ACCES AUX SERVICES SOCIAUX DE QUALITE DANS L’EQUIT","RESULTAT3 : LES POPULATIONS, EN PARTICULIER LES FEMMES, LES ENFANTS ET AUTRES GROUPES VULNERABLES ONT ACCES AUX SERVICES SOCIAUX DE QUALITE DANS L’EQUIT","Education Nationale /Alphabetisation, valeurs culturelles et civisme", , , , , , ,OBJECTIF 2 - Assurer l'education primaire pour tous,OBJECTIF 2 - Assurer l'education primaire pour tous, , , , , , , ,,,Off Budget, , , ,28/02/2012,30/09/2014,,,,28/02/2012,ANYAMA,Sous-Prefecture Level,ABIDJAN,ABIDJAN, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25185.51,23497.778,25185.51,0,0,0,25185.51,23497.778,25185.51,0,0
  Rehabilitation et extension du complexe socio-educatif et sportif de la mission Catholique de Duekoue au profit des jeunes ex-deplaces,112007134682,100%,Totally acquired,Reparer la memoire des ex-deplaces et favoriser la cohesion sociale notamment entre les ex-deplaces et les jeunes vivants a Duekoue, ,Closed,Operation des Nations Unies en Cote d'Ivoire,Systeme des Nations Unies,Multilateral,Don projet,24/02/2014,Closed,Don financier, , , ,09 - ENSEIGNEMENT, ,100 - INFRASTRUCTURE ET SERVICES SOCIAUX,112 - EDUCATION DE BASE,Ministere de l'Education Nationale et de l'Enseignement Technique, ,"RESULTAT3 : LES POPULATIONS, EN PARTICULIER LES FEMMES, LES ENFANTS ET AUTRES GROUPES VULNERABLES ONT ACCES AUX SERVICES SOCIAUX DE QUALITE DANS L’EQUIT","RESULTAT3 : LES POPULATIONS, EN PARTICULIER LES FEMMES, LES ENFANTS ET AUTRES GROUPES VULNERABLES ONT ACCES AUX SERVICES SOCIAUX DE QUALITE DANS L’EQUIT","Education Nationale /Alphabetisation, valeurs culturelles et civisme", , , , , , ,OBJECTIF 2 - Assurer l'education primaire pour tous,OBJECTIF 2 - Assurer l'education primaire pour tous, , , , , , , ,,,Off Budget, , , ,24/02/2014,30/09/2014,,,,28/05/2014,DUEKOUE,Sous-Prefecture Level,GUEMON,DUEKOUE, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24766.001,23106.381,24766.001,0,0,0,24766.001,23106.381,24766.001,0,0
"  Construction d´un bâtiment de trois (3) salles de classes, d´un bureau avec equipement mobilier a l´EPP GBEZIO S/P Facobly",112007134679,100%,Totally acquired,Contribuer au renforcement de la stabilite communautaire du village, ,Closed,Operation des Nations Unies en Cote d'Ivoire,Systeme des Nations Unies,Multilateral,Don projet,11/04/2014,Closed,Don financier, , , ,09 - ENSEIGNEMENT,091 - Enseignements preelementaire et primaire,100 - INFRASTRUCTURE ET SERVICES SOCIAUX,112 - EDUCATION DE BASE,Ministere de l'Education Nationale et de l'Enseignement Technique, ,"RESULTAT3 : LES POPULATIONS, EN PARTICULIER LES FEMMES, LES ENFANTS ET AUTRES GROUPES VULNERABLES ONT ACCES AUX SERVICES SOCIAUX DE QUALITE DANS L’EQUIT","RESULTAT3 : LES POPULATIONS, EN PARTICULIER LES FEMMES, LES ENFANTS ET AUTRES GROUPES VULNERABLES ONT ACCES AUX SERVICES SOCIAUX DE QUALITE DANS L’EQUIT","Education Nationale /Alphabetisation, valeurs culturelles et civisme", , , , , , ,OBJECTIF 2 - Assurer l'education primaire pour tous,OBJECTIF 2 - Assurer l'education primaire pour tous, , , , , , , ,,,Off Budget, , , ,11/04/2014,30/09/2014,28/05/2014,,,28/05/2014,FACOBLY,Sous-Prefecture Level,GUEMON,FACOBLY, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25548.468,23678.439,25548.468,0,0,0,25548.468,23678.439,25548.468,0,0
"  Construction de trois (3) classes, du bureau du Directeur, et des latrines de l'EPP Goulehako II Tai",112007134633,100%,Totally acquired,Permettre aux eleves d´avoir un cadre d´etude approprie, ,Closed,Operation des Nations Unies en Cote d'Ivoire,Systeme des Nations Unies,Multilateral,Don projet,28/05/2014,Closed,Don financier, , , ,09 - ENSEIGNEMENT,091 - Enseignements preelementaire et primaire,100 - INFRASTRUCTURE ET SERVICES SOCIAUX,112 - EDUCATION DE BASE,Ministere de l'Education Nationale et de l'Enseignement Technique, ,"RESULTAT3 : LES POPULATIONS, EN PARTICULIER LES FEMMES, LES ENFANTS ET AUTRES GROUPES VULNERABLES ONT ACCES AUX SERVICES SOCIAUX DE QUALITE DANS L’EQUIT","RESULTAT3 : LES POPULATIONS, EN PARTICULIER LES FEMMES, LES ENFANTS ET AUTRES GROUPES VULNERABLES ONT ACCES AUX SERVICES SOCIAUX DE QUALITE DANS L’EQUIT","Education Nationale /Alphabetisation, valeurs culturelles et civisme", , , , , , ,OBJECTIF 2 - Assurer l'education primaire pour tous,OBJECTIF 2 - Assurer l'education primaire pour tous, , , , , , , ,,,Off Budget, , , ,28/05/2014,30/09/2014,,,,28/05/2014,TAI,Sous-Prefecture Level,CAVALLY,TAI, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24533.376,23119.442,24533.376,0,0,0,24533.376,23119.442,24533.376,0,0
"  Rehabilitation de 3 salles de classes, construction de latrines et de cantine a Abokouman - District de Tanda",112007134684,100%,Totally acquired,Permettre aux eleves d´avoir un cadre d´etude approprie, ,Closed,Operation des Nations Unies en Cote d'Ivoire,Systeme des Nations Unies,Multilateral,Don projet,06/04/2014,Closed,Don financier, , , ,09 - ENSEIGNEMENT,091 - Enseignements preelementaire et primaire,100 - INFRASTRUCTURE ET SERVICES SOCIAUX,112 - EDUCATION DE BASE,Ministere de l'Education Nationale et de l'Enseignement Technique, ,"RESULTAT3 : LES POPULATIONS, EN PARTICULIER LES FEMMES, LES ENFANTS ET AUTRES GROUPES VULNERABLES ONT ACCES AUX SERVICES SOCIAUX DE QUALITE DANS L’EQUIT","RESULTAT3 : LES POPULATIONS, EN PARTICULIER LES FEMMES, LES ENFANTS ET AUTRES GROUPES VULNERABLES ONT ACCES AUX SERVICES SOCIAUX DE QUALITE DANS L’EQUIT","Education Nationale /Alphabetisation, valeurs culturelles et civisme", , , , , , ,OBJECTIF 2 - Assurer l'education primaire pour tous,OBJECTIF 2 - Assurer l'education primaire pour tous, , , , , , , ,,,Off Budget, , , ,06/04/2014,30/09/2014,,,,26/08/2014,TANDA,Sous-Prefecture Level,GONTOUGO,TANDA, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22224.197,20848.568,22224.197,0,0,0,22224.197,20848.568,22224.197,0,0
  Projet d'appui au programme alimentaire scolaire (operation IPSR/Projet PAM n°200066/001),cmrx_0099,88%,Totally acquired,Acheter et distribuer des vivres a 427500 rationnaires de 1643 cantines pendant 84 jours,Composante 1: Approvisionnement des 1643 cantines en vivresComposante 2: Suivi des activites du projet,Closed,Programme Alimentaire Mondial,Systeme des Nations Unies,Multilateral,Don projet,20/12/2012,Closed,Don financier, ,Difficultes liees aux procedures d'execution du partenaire, ,09 - ENSEIGNEMENT,091 - Enseignements preelementaire et primaire,100 - INFRASTRUCTURE ET SERVICES SOCIAUX,112 - EDUCATION DE BASE,Ministere de l'Education Nationale et de l'Enseignement Technique, ,"RESULTAT3 : LES POPULATIONS, EN PARTICULIER LES FEMMES, LES ENFANTS ET AUTRES GROUPES VULNERABLES ONT ACCES AUX SERVICES SOCIAUX DE QUALITE DANS L’EQUIT","RESULTAT3 : LES POPULATIONS, EN PARTICULIER LES FEMMES, LES ENFANTS ET AUTRES GROUPES VULNERABLES ONT ACCES AUX SERVICES SOCIAUX DE QUALITE DANS L’EQUIT","Education Nationale /Alphabetisation, valeurs culturelles et civisme",Les enfants scolarises beneficient d'un enseignement general de qualite, , , , , ," - OBJECTIF 1 - Reduction de l'extreme pauvrete et de la faim
 - OBJECTIF 2 - Assurer l'education primaire pour tous"," - OBJECTIF 1 - Reduction de l'extreme pauvrete et de la faim
 - OBJECTIF 2 - Assurer l'education primaire pour tous", , , , , , , ,,,Off Budget, , , ,20/12/2012,,01/01/2013,30/06/2013,,, ,District Level, , ,521601.194,0,0,0,0,0,0,0,599412.756,156450,156450,0,0,0,0,142800,142800,0,0,0,0,280048.245,300162.756,0,0,0,599412.756,579298.245,599412.756,0,0
  Projet de Renforcement du Systeme de Sante- GAVI (RSS-GAVI),11200713764,30%,Totally acquired,"1) Renforcer les capacites de gestion du personnel de sante de 6 services centraux, 12 Directions regionales de la Sante et des equipes cadre de 32 districts sanitaires de 2008 a 2012; 2) Revitaliser 50% des etablissements sanitaires (ESPC, HG) au niveau du district de 2008 a 2012 pour offrir des prestations de qualite notamment en faveur de la mere et de l'enfant; 3) Ameliorer la gestion de l'information sanitaire a tous les niveaux de la pyramide sanitaire (central, regional et district).","Composante 1: Renforcement des capacites des ressources humaines;   Composante 2: Renforcement de la gestion des services de sante;   Composante 3: Renforcement de la gestion de l&#39;information et le recherche operationnel;   Composante 4: Renforcement en equipements, logistique et rehabilitation des infrastructures;   Composante 5: La coordination et le suivi evaluation des interventions.",Ongoing," - Etat
 - Gavi Alliance"," - Autres Multilateraux
 - etat"," - Multilateral
 - etat"," - Don projet
 - Ressources Internes"," - 01/03/2009
 - 01/01/2014",Ongoing," - Don financier
 - Etat Contrepartie","Secretariat du Gouvernement, Cabinet du MPMB, Directeur du controle financier, Cabinet MPMEF, Cabinet MSLS",Absence d'indemnites de fonction sur le projet pour les membres de l'unite de gestion et de controle du projet,En attente du projet d'arrete inter ministeriel transmis 19 novembre 2014 au Ministere aupres du Premier Ministre charge du budget (MPMB)pour approbation.,07 - SANTE,"071 - Produits, appareils et materiels medicaux",100 - INFRASTRUCTURE ET SERVICES SOCIAUX,"121 - SANTE, GENERAL",Ministere de la Sante et de la Lutte Contre le Sida, ,"RESULTAT3 : LES POPULATIONS, EN PARTICULIER LES FEMMES, LES ENFANTS ET AUTRES GROUPES VULNERABLES ONT ACCES AUX SERVICES SOCIAUX DE QUALITE DANS L’EQUIT","RESULTAT3 : LES POPULATIONS, EN PARTICULIER LES FEMMES, LES ENFANTS ET AUTRES GROUPES VULNERABLES ONT ACCES AUX SERVICES SOCIAUX DE QUALITE DANS L’EQUIT","Sante, Nutrition et VIH/Sida",L’efficacite et l’efficience du systeme de Sante sont ameliorees, , , , , , , , , , , , , , ,,,On Budget,622 9513 01,,Le montant du financement de la partie nationale est annuel et ce montant peux change d'une annee a l'autre.,14/08/2008,,01/03/2009,01/12/2012,,14/08/2008," - ABIDJAN
 - ANYAMA
 - BANGOLO
 - BEOUMI
 - BIANKOUMA
 - BOUAFLE
 - BOUAKE
 - BOUNDIALI
 - DABAKALA
 - DALOA
 - DANANE
 - DIDIEVI
 - DUEKOUE
 - FACOBLY
 - KORHOGO
 - M'BAHIAKRO
 - MAN
 - MANKONO
 - ODIENNE
 - SEGUELA
 - SINFRA
 - SIRASSO
 - TENGRELA
 - TIEBISSOU
 - TOUBA
 - TOULEPLEU
 - TOUMODI
 - VAVOUA
 - ZOUAN-HOUNIEN
 - ZOUENOULA
 - ZOUKOUGBEU",Sous-Prefecture Level," - ABIDJAN
 - BAFING
 - BAGOUE
 - BELIER
 - BERE
 - CAVALLY
 - GBEKE
 - GUEMON
 - HAMBOL
 - HAUT-SASSANDRA
 - IFFOU
 - KABADOUGOU
 - MARAHOUE
 - PORO
 - TONKPI
 - WORODOUGOU"," - ABIDJAN
 - BANGOLO
 - BEOUMI
 - BIANKOUMA
 - BOUAFLE
 - BOUAKE
 - BOUNDIALI
 - DABAKALA
 - DALOA
 - DANANE
 - DIDIEVI
 - DUEKOUE
 - FACOBLY
 - KORHOGO
 - M'BAHIAKRO
 - MAN
 - MANKONO
 - ODIENNE
 - SEGUELA
 - SINFRA
 - TENGRELA
 - TIEBISSOU
 - TOUBA
 - TOULEPLEU
 - TOUMODI
 - VAVOUA
 - ZOUAN-HOUNIEN
 - ZOUENOULA
 - ZOUKOUGBEU",8194731.734,0,0,0,0,0,0,0,0,1349404.398,1349404.398,0,0,0,0,0,0,0,0,0,102585.84,1870683.164,2590171.569,0,1334211.142,0,8194731.734,3220087.562,3939575.967,0,1334211.142
  Projet de Renforcement des Capacites Epidemiologiques et des Laboratoires pour la surveillance et la Riposte contre la Grippe,11200713713,,Totally acquired,1) Renforcement les capacites pour la mise en place d'un systeme de surveillance nationale de la grippe saisonniere et pandemique 2) Determiner le poids de la morbidite et la mortalite nationale liees a la grippe et aux infections respiratoires aigues 3) Ameliorer et maintenir le systeme de surveillance epidemiologique de routine des virus de la grippe saisonniere et pandemique,Composante 1: Coordination    Composante 2: Communication    Composante 3: Surveillance    Composante 4: Equipement    Composante 5: Formation,Ongoing,Center for Disease Control and Prevention,Cooperation etats-Unis,Bilateral,Don projet,01/08/2011,Ongoing,Don financier, , , ,07 - SANTE,"071 - Produits, appareils et materiels medicaux",100 - INFRASTRUCTURE ET SERVICES SOCIAUX,"121 - SANTE, GENERAL",Ministere de la Sante et de la Lutte Contre le Sida, ,"RESULTAT3 : LES POPULATIONS, EN PARTICULIER LES FEMMES, LES ENFANTS ET AUTRES GROUPES VULNERABLES ONT ACCES AUX SERVICES SOCIAUX DE QUALITE DANS L’EQUIT","RESULTAT3 : LES POPULATIONS, EN PARTICULIER LES FEMMES, LES ENFANTS ET AUTRES GROUPES VULNERABLES ONT ACCES AUX SERVICES SOCIAUX DE QUALITE DANS L’EQUIT","Sante, Nutrition et VIH/Sida",L'offre et la qualite des prestations des services de sante sont ameliorees, , , , , ,"OBJECTIF 6 - Combattre le VIH/sida, le paludisme et d'autres maladies","OBJECTIF 6 - Combattre le VIH/sida, le paludisme et d'autres maladies", , , , , , , ,,,Off Budget, , , ,01/08/2011,31/07/2016,01/08/2011,31/07/2016,,01/08/2011, ,National, , ,1837500,0,1837500,0,0,0,0,0,0,0,0,0,0,0,0,285293.433,285293.433,0,0,0,0,221809.85,367500,0,0,0,1837500,507103.283,652793.433,0,0
  Projet Cadre d’acceleration de la realisation de l’OMD 5 : Amelioration de la sante maternelle,112007132541,80%,Totally acquired,"Lutter contre la Mortalite maternelle, neo natale et infantile","Composante 1: Renforcer le leadership et la gouvernance des actions de sante,     Composante 2: Renforcer les systemes d'information sanitaire,     Composante 3: Financer la sante,     Composante 4: Renforcer l'acces aux produits et technologies medicales essentiels,     Composante 5: Renforcer la prestation des services de sante maternelle, neonatale et infanto-juvenile et sante reproductive,     Composante 6: Faire la promotion au niveau familiale et communautaire des pratiques familiales essentielles,     Composante 7: Faire le suivi, evaluation et documentation",Ongoing,Programme des Nations Unies pour le Developpement,Systeme des Nations Unies,Multilateral,Don projet,01/12/2013,Ongoing,Don financier, ," - Retard dans la mise a disposition des fonds pour le demarrage effectif des activites:
 - les structures sanitaires des localites choisies pour implementer le projet ont un Faible niveau de plateau technique."," - Orienter une partie des fonds du PNUD vers la mise a niveau des plateaux techniques des structures (ex; equiper les blocs operatoires non fonctionnel)
 - Plaidoyer pour une mise a temps des fonds",07 - SANTE, ,100 - INFRASTRUCTURE ET SERVICES SOCIAUX,122 - SANTE DE BASE,Ministere de la Sante et de la Lutte Contre le Sida, ,"RESULTAT3 : LES POPULATIONS, EN PARTICULIER LES FEMMES, LES ENFANTS ET AUTRES GROUPES VULNERABLES ONT ACCES AUX SERVICES SOCIAUX DE QUALITE DANS L’EQUIT","RESULTAT3 : LES POPULATIONS, EN PARTICULIER LES FEMMES, LES ENFANTS ET AUTRES GROUPES VULNERABLES ONT ACCES AUX SERVICES SOCIAUX DE QUALITE DANS L’EQUIT","Sante, Nutrition et VIH/Sida",L'offre et la qualite des prestations des services de sante sont ameliorees, , , , , ," - OBJECTIF 5 - Ameliorer la sante maternelle
 - OBJECTIF 6 - Combattre le VIH/sida, le paludisme et d'autres maladies"," - OBJECTIF 5 - Ameliorer la sante maternelle
 - OBJECTIF 6 - Combattre le VIH/sida, le paludisme et d'autres maladies", , , , , , , ,,,Off Budget, , , ,01/12/2013,,,,,01/01/2014," - BOUNA
 - NASSIAN",Sous-Prefecture Level,BOUKANI," - BOUNA
 - NASSIAN", ,0,0,0,0,0,0,0,0,0,0,0,0,0,141750,0,0,0,0,0,0,101133.153,141750,0,0,0,141750,101133.153,141750,0,0
  Renforcement de l’alimentation en eau de la ville d’Abidjan,11200713572,100%,Totally acquired, , ,Ongoing," - Banque Islamique de Developpement
 - Etat
 - OPEC Fund for International Development"," - Autres Multilateraux
 - Fonds Arabes Multilateraux
 - etat"," - Multilateral
 - etat"," - Pret projet concessionnel
 - Ressources Internes"," - 19/11/2007
 - 03/05/2008",Ongoing," - Etat Contrepartie
 - Pret", , , ,06 - LOGEMENT ET EQUIPEMENTS COLLECTIFS,063 - Alimentation en eau,100 - INFRASTRUCTURE ET SERVICES SOCIAUX,140 - EAU ET ASSAINISSEMENT,Ministere des Infrastructures Economiques, ,RESULTAT4 : LES POPULATIONS VIVENT DANS UN ENVIRONNEMENT SAIN ET UN CADRE DE VIE ADEQUAT,RESULTAT4 : LES POPULATIONS VIVENT DANS UN ENVIRONNEMENT SAIN ET UN CADRE DE VIE ADEQUAT,Eau Potable,L'accessibilite a l'eau potable est amelioree, , , , , ,OBJECTIF 1 - Reduction de l'extreme pauvrete et de la faim,OBJECTIF 1 - Reduction de l'extreme pauvrete et de la faim, , , , , , , ,,,On Budget,732960278, , ,03/05/2008,31/12/2011,13/11/2008,,,03/05/2008, ,Region Level,ABIDJAN,ABIDJAN,24983910,0,0,0,0,0,0,0,0,709175.1,4428054.75,0,0,0,0,13948457.7,14798957.7,0,0,0,0,8542552.578,17629291.08,0,0,0,24983910,23200185.38,36856303.53,0,0
  Hydraulique Villageoise Amelioree (Phase 8),11200713562,,Totally acquired, , ,Ongoing," - Beneficiaires
 - Etat
 - KfW"," - Contribution Beneficiaire
 - Cooperation Allemagne
 - etat"," - Autre
 - Bilateral
 - etat"," - Don projet
 - Ressources Internes"," - 
 - 02/12/2010
 - 31/12/2013",Ongoing," - Don financier
 - Etat Contrepartie
 - Etat Hors-Contrepartie
 - Pret", ,RAS, ,06 - LOGEMENT ET EQUIPEMENTS COLLECTIFS,063 - Alimentation en eau,100 - INFRASTRUCTURE ET SERVICES SOCIAUX,140 - EAU ET ASSAINISSEMENT,Ministere des Infrastructures Economiques, ,RESULTAT4 : LES POPULATIONS VIVENT DANS UN ENVIRONNEMENT SAIN ET UN CADRE DE VIE ADEQUAT,RESULTAT4 : LES POPULATIONS VIVENT DANS UN ENVIRONNEMENT SAIN ET UN CADRE DE VIE ADEQUAT,Eau Potable,L'accessibilite a l'eau potable est amelioree, , , , , , , , , , , , , , ,,,On Budget,733950195, ,Les informations attendues de l'ONEP ne sont pas parvenues,02/12/2010,02/01/2014,01/01/2012,02/12/2010,,01/01/2012, ,National, , ,9848580,0,0,0,0,0,0,0,0,207060,207060,0,0,0,6684720,809550,809549.999,0,0,0,0,553928.756,1311536.1,0,0,0,9848580,1570538.756,2328146.1,0,0
  Programme hydraulique et assainissement pour le millenaire (PHAM-Hydraulique),112007131037,,Totally acquired,Contribuer a la reduction de la pauvrete et a l’amelioration de la sante des populations par un acces a de meilleurs services sociaux de base en matiere d’eau et d’assainissement,Composante 1: Amelioration de l'acces a l'eau potable des population de la zone d'interventionComposante 2: Assurance de la performance de l'entretien et de la gestion des infrastructures d'alimentation en eau potable,Ongoing," - Beneficiaires
 - Etat
 - Fonds Europeen pour le Developpement 10
 - KfW"," - Commission Europeennne
 - Contribution Beneficiaire
 - Cooperation Allemagne
 - etat"," - Autre
 - Bilateral
 - Multilateral
 - etat"," - Don projet
 - Ressources Internes"," - 
 - 13/03/2013
 - 04/07/2013",Ongoing," - Don financier
 - Etat Contrepartie
 - Etat Hors-Contrepartie", , , ,06 - LOGEMENT ET EQUIPEMENTS COLLECTIFS,063 - Alimentation en eau,100 - INFRASTRUCTURE ET SERVICES SOCIAUX,140 - EAU ET ASSAINISSEMENT,Ministere des Infrastructures Economiques,KfW,RESULTAT4 : LES POPULATIONS VIVENT DANS UN ENVIRONNEMENT SAIN ET UN CADRE DE VIE ADEQUAT,RESULTAT4 : LES POPULATIONS VIVENT DANS UN ENVIRONNEMENT SAIN ET UN CADRE DE VIE ADEQUAT,Eau Potable, , , , , , , , , , , , , , , ,,,On Budget,731950501, , ,,,04/07/2013,,,04/07/2013," - BOUAFLE
 - DALOA
 - DUEKOUE
 - FRESCO
 - GUIGLO
 - MAN
 - SAN-PEDRO
 - SASSANDRA
 - SOUBRE",Sous-Prefecture Level," - CAVALLY
 - GBOKLE
 - GUEMON
 - HAUT-SASSANDRA
 - MARAHOUE
 - NAWA
 - SAN-PEDRO
 - TONKPI"," - BOUAFLE
 - DALOA
 - DUEKOUE
 - FRESCO
 - GUIGLO
 - MAN
 - SAN-PEDRO
 - SASSANDRA
 - SOUBRE",20647830,0,0,0,0,0,0,0,0,0,0,0,0,0,21386190,0,18900000,0,0,0,0,2585986.529,1584136.154,0,0,0,21386190,2585986.529,20484136.16,0,0
  Projet de Gouvernance et de Developpement Institutionnel,cmrx_0234,,Totally acquired,L'objectif de developpement du projet dans sa phase de financement additionnel est: - d'accroître la transparence et l'efficience de la gestion des ressources publiques et; - d'ameliorer la gouvernance et l'efficience dans le secteur cacao.,"COMPOSANTE 1 : Finances publiques   Objectif : d'accroître la transparence et l'efficience de la gestion   des ressources publiques   Activites :   - Amelioration du processus de preparation et d'execution budgetaire     Appuyer la deconcentration de SIGFiP Institution dans 03 Institutions;    Appuyer la phase pilote du SIGFiP nouveau ;    Developper un plan operationnel pour la mise en œuvre des Directives communautaires UEMOA.    - Amelioration de la gestion des recettes budgetaires     Interfacer ASTER et GUOAR ;    Interfacer ASTER et SYDAM.    - Amelioration de la gestion des collectivites et des EPN     Appuyer la deconcentration du SIGESCOD dans 06 collectivites (06 regions) ;    Appuyer la centralisation du reseau du RICI EPN    - Renforcement des Fonctions d'audit et de controle de l'Etat     Appuyer l&#39;harmonisation du systeme de controle de l&#39;Etat    Appuyer la vulgarisation des Manuels de procedures du controle financier    Realiser la cartographie des risques de trois Ministeres Pilotes (ABR)       Montant alloue : 1 607 000, FCFA         COMPOSANTE : secteur petrolier en amont   Activites : Pas d'activite prevue   Montant alloue : 0   COMPOSANTE 3 : Filiere Cafe-cacao   Objectif : ameliorer la gouvernance et l'efficience dans le secteur cacao   Activites :      Organiser un atelier de sensibilisation et de formation des producteurs aux nouvelles dispositions de l&#39;Acte Uniforme de l&#39;OHADA    Accompagner les Cooperatives pour leurs enregistrements aupres des greffes et immatriculation    Montant alloue : 470 millions",Ongoing," - Association Internationale de Developpement
 - Etat"," - Groupe Banque Mondiale
 - etat"," - Multilateral
 - etat"," - Pret projet concessionnel
 - Ressources Internes",23/07/2014,Ongoing," - Etat Contrepartie
 - Pret", ,- Niveau administratif : Aucune - Niveau technique : Aucune - Niveau financier : Aucune, ,01 - SERVICES GENERAUX DES ADMINISTRATIONS PUBLIQUES, ,100 - INFRASTRUCTURE ET SERVICES SOCIAUX,150 - GOUVERNEMENT ET SOCIETE CIVILE,Ministere aupres du Premier Ministre charge de l’Economie et des Finances, ,RESULTAT1 : LES POPULATIONS VIVENT EN HARMONIE DANS UNE SOCIETE SECURISEE DANS LAQUELLE LA BONNE GOUVERNANCE EST ASSUREE,RESULTAT1 : LES POPULATIONS VIVENT EN HARMONIE DANS UNE SOCIETE SECURISEE DANS LAQUELLE LA BONNE GOUVERNANCE EST ASSUREE,Gouvernance Administrative et Territoriale, , , , , , , , , , , , , , , ,,,On Budget,311910101, , ,23/07/2014,31/12/2016,20/10/2014,30/06/2013,2,, ,National, , ,6300000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6225865.414,0,5188221.179,0,0,0,6225865.414,0,6124639.267,0,0
